participant,studyName,studyNameNah,expId,month,date,year,trialNah,trialId,word,wordlabel,phonelength,duration,silence,durasil,begin,meanpit,maxpitch,maxPitTime,minpitch,minPitTime,firstpitch,secondpitch,thirdpitch,fourthpitch,meanIntensity,maxIntensity
A1CE2XPYCDRHVZ,prosody,study,exp4,01,12,2020,trial,01,sp,sp,1,0.790,0,0.790,0.0125,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,14.308,31.484
A1CE2XPYCDRHVZ,prosody,study,exp4,01,12,2020,trial,01,NO,NO,2,0.350,0,0.350,0.8025,212.562,327.77,0.185,150.84,0.166,191.744,187.814,290.838,--undefined--,70.333,84.761
A1CE2XPYCDRHVZ,prosody,study,exp4,01,12,2020,trial,01,sp,sp,1,0.030,0,0.030,1.1525,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,68.354,70.713
A1CE2XPYCDRHVZ,prosody,study,exp4,01,12,2020,trial,01,KIMMEY,KIMMEY,4,0.170,0,0.170,1.1825,252.542,265.34,0.085,225.24,0.170,245.181,257.036,261.991,241.493,76.838,81.986
A1CE2XPYCDRHVZ,prosody,study,exp4,01,12,2020,trial,01,IS,IS,2,0.250,0,0.250,1.3525,125.817,225.24,0,68.99,0.086,153.716,105.169,122.950,--undefined--,73.572,79.496
A1CE2XPYCDRHVZ,prosody,study,exp4,01,12,2020,trial,01,KICKING,KICKING,5,0.370,0,0.370,1.6025,133.064,165.05,0.111,119.25,0.327,--undefined--,148.625,135.577,123.248,65.020,74.478
A1CE2XPYCDRHVZ,prosody,study,exp4,01,12,2020,trial,01,TOMMY,TOMMY,4,0.510,0,0.510,1.9725,110.634,129.46,0.101,94.78,0.293,124.913,113.152,101.618,115.153,59.857,75.610
A1CE2XPYCDRHVZ,prosody,study,exp4,01,12,2020,trial,01,sp,sp,0,0.950,0,0.950,2.4825,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,10.954,15.887
A1CE2XPYCDRHVZ,prosody,study,exp4,01,12,2020,trial,02,sp,sp,1,0.630,0,0.630,0.0125,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,12.364,23.034
A1CE2XPYCDRHVZ,prosody,study,exp4,01,12,2020,trial,02,NO,NO,2,0.390,0,0.390,0.6425,170.379,218.80,0.126,125.57,0.290,190.666,210.617,127.885,129.692,72.647,83.579
A1CE2XPYCDRHVZ,prosody,study,exp4,01,12,2020,trial,02,KIMMEY,KIMMEY,4,0.220,0,0.220,1.0325,269.438,280.31,0.182,245.32,0.098,--undefined--,249.359,270.014,274.977,69.383,81.166
A1CE2XPYCDRHVZ,prosody,study,exp4,01,12,2020,trial,02,IS,IS,2,0.220,0,0.220,1.2525,153.469,259.54,0,80.79,0.078,206.703,107.743,145.657,--undefined--,73.342,81.262
A1CE2XPYCDRHVZ,prosody,study,exp4,01,12,2020,trial,02,KICKING,KICKING,5,0.360,0,0.360,1.4725,135.922,164.14,0.118,123.02,0.301,--undefined--,154.718,135.613,128.294,59.509,68.956
A1CE2XPYCDRHVZ,prosody,study,exp4,01,12,2020,trial,02,TOMMY,TOMMY,4,0.510,0,0.510,1.8325,117.452,134.85,0.108,100.64,0.335,133.025,122.481,109.999,115.219,56.402,73.274
A1CE2XPYCDRHVZ,prosody,study,exp4,01,12,2020,trial,02,sp,sp,0,0.760,0,0.760,2.3425,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,8.446,12.894
A1CE2XPYCDRHVZ,prosody,study,exp4,01,12,2020,trial,03,sp,sp,1,0.680,0,0.680,0.0125,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,13.013,22.535
A1CE2XPYCDRHVZ,prosody,study,exp4,01,12,2020,trial,03,NO,NO,2,0.360,0,0.360,0.6925,202.477,225.51,0.120,183.12,0.042,204.311,221.676,193.984,186.595,72.359,84.589
A1CE2XPYCDRHVZ,prosody,study,exp4,01,12,2020,trial,03,KIMMEY,KIMMEY,4,0.180,0,0.180,1.0525,250.848,267.35,0.042,231.04,0.180,266.937,262.333,250.764,236.521,72.633,79.100
A1CE2XPYCDRHVZ,prosody,study,exp4,01,12,2020,trial,03,IS,IS,2,0.240,0,0.240,1.2325,170.736,231.04,0,129.55,0.130,213.842,156.972,133.127,--undefined--,72.208,78.891
A1CE2XPYCDRHVZ,prosody,study,exp4,01,12,2020,trial,03,KICKING,KICKING,5,0.370,0,0.370,1.4725,132.834,165.13,0.102,123.46,0.320,--undefined--,155.027,132.609,124.612,59.708,73.203
A1CE2XPYCDRHVZ,prosody,study,exp4,01,12,2020,trial,03,TOMMY,TOMMY,4,0.440,0,0.440,1.8425,109.754,131.95,0.356,93.49,0.148,119.211,100.237,107.239,129.707,59.648,72.954
A1CE2XPYCDRHVZ,prosody,study,exp4,01,12,2020,trial,03,sp,sp,0,0.730,0,0.730,2.2825,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,10.204,17.023
A1CE2XPYCDRHVZ,prosody,study,exp4,01,12,2020,trial,05,sp,sp,1,0.720,0,0.720,0.0125,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,15.582,24.190
A1CE2XPYCDRHVZ,prosody,study,exp4,01,12,2020,trial,05,NO,NO,2,0.370,0,0.370,0.7325,174.926,202.38,0.122,131.25,0.228,188.432,191.441,149.093,178.848,71.515,84.021
A1CE2XPYCDRHVZ,prosody,study,exp4,01,12,2020,trial,05,KIMMEY,KIMMEY,4,0.190,0,0.190,1.1025,230.680,242.37,0.111,213.49,0.180,--undefined--,226.833,241.125,223.383,73.608,81.310
A1CE2XPYCDRHVZ,prosody,study,exp4,01,12,2020,trial,05,IS,IS,2,0.250,0,0.250,1.2925,153.997,219.48,0,123.74,0.115,183.801,135.067,132.162,--undefined--,72.518,80.265
A1CE2XPYCDRHVZ,prosody,study,exp4,01,12,2020,trial,05,KICKING,KICKING,5,0.340,0,0.340,1.5425,129.537,156.54,0.091,118.63,0.281,--undefined--,145.260,126.935,123.023,66.037,75.174
A1CE2XPYCDRHVZ,prosody,study,exp4,01,12,2020,trial,05,TOMMY,TOMMY,4,0.530,0,0.530,1.8825,110.565,135.34,0.001,83.85,0.311,127.184,112.422,104.846,115.189,59.200,73.603
A1CE2XPYCDRHVZ,prosody,study,exp4,01,12,2020,trial,05,sp,sp,0,0.880,0,0.880,2.4125,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,10.905,18.791
A1CE2XPYCDRHVZ,prosody,study,exp4,01,12,2020,trial,06,sp,sp,1,0.680,0,0.680,0.0125,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,15.964,22.939
A1CE2XPYCDRHVZ,prosody,study,exp4,01,12,2020,trial,06,NO,NO,2,0.380,0,0.380,0.6925,167.086,201.50,0.104,130.76,0.254,187.427,189.329,140.328,131.865,68.099,83.061
A1CE2XPYCDRHVZ,prosody,study,exp4,01,12,2020,trial,06,KIMMEY,KIMMEY,4,0.200,0,0.200,1.0725,246.586,259.17,0.112,227.18,0.073,--undefined--,236.308,255.561,245.237,72.242,78.743
A1CE2XPYCDRHVZ,prosody,study,exp4,01,12,2020,trial,06,IS,IS,2,0.220,0,0.220,1.2725,175.894,230.48,0,132.45,0.146,216.813,181.272,140.738,141.673,75.183,79.898
A1CE2XPYCDRHVZ,prosody,study,exp4,01,12,2020,trial,06,KICKING,KICKING,5,0.430,0,0.430,1.4925,137.942,171.00,0.138,123.75,0.428,--undefined--,152.032,138.038,127.150,61.641,73.315
A1CE2XPYCDRHVZ,prosody,study,exp4,01,12,2020,trial,06,TOMMY,TOMMY,4,0.460,0,0.460,1.9225,112.913,124.16,0.108,107.71,0.231,123.520,114.014,110.383,--undefined--,55.388,68.056
