participant,presentationnum,verb,condition,item,targword,question,yesno,list,version,index,word,wordlabel,phonelength,duration,silence,durasil,begin,meanpit,maxpitch,maxPitTime,minpitch,minPitTime,firstpitch,secondpitch,thirdpitch,fourthpitch,meanIntensity,maxIntensity
A1299WL9DI3TEF,10,ItemBonnie,YesControl,Kick,ISBONNIEKICKINGLAURIE,yes,ListB,VersionC,nonrhyming,1,sp,sp,1,0.639,0,0.639,0.0124716553288,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,17.324,31.475
A1299WL9DI3TEF,10,ItemBonnie,YesControl,Kick,ISBONNIEKICKINGLAURIE,yes,ListB,VersionC,nonrhyming,1,YES,YES,3,0.389,0,0.389,0.651020408163,117.146,143.03,0.073,108.24,0.233,136.815,116.208,109.298,--undefined--,66.547,80.534
A1299WL9DI3TEF,10,ItemBonnie,YesControl,Kick,ISBONNIEKICKINGLAURIE,yes,ListB,VersionC,nonrhyming,1,BONNIE,BONNIE,4,0.249,0,0.249,1.04013605442,122.383,131.13,0.083,118.81,0.181,--undefined--,125.958,120.532,121.578,68.497,80.043
A1299WL9DI3TEF,10,ItemBonnie,YesControl,Kick,ISBONNIEKICKINGLAURIE,yes,ListB,VersionC,nonrhyming,1,IS,IS,2,0.150,0,0.150,1.289569161,113.594,120.24,0,102.26,0.124,119.186,115.816,109.630,104.978,74.489,78.135
A1299WL9DI3TEF,10,ItemBonnie,YesControl,Kick,ISBONNIEKICKINGLAURIE,yes,ListB,VersionC,nonrhyming,1,KICKING,KICKING,5,0.369,0,0.369,1.43922902494,118.403,147.72,0.104,111.00,0.189,--undefined--,124.936,116.682,114.089,64.900,79.808
A1299WL9DI3TEF,10,ItemBonnie,YesControl,Kick,ISBONNIEKICKINGLAURIE,yes,ListB,VersionC,nonrhyming,1,LAURIE,LAURIE,4,0.389,0,0.389,1.80839002268,106.873,113.90,0.003,101.96,0.172,110.446,104.155,106.321,103.319,67.047,75.342
A1299WL9DI3TEF,10,ItemBonnie,YesControl,Kick,ISBONNIEKICKINGLAURIE,yes,ListB,VersionC,nonrhyming,1,sp,sp,0,0.439,0,0.439,2.19750566893,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,16.702,36.423
A1299WL9DI3TEF,11,ItemSandy,Verb,Pull,ISSANDYPUSHINGTORI,no,ListB,VersionC,nonrhyming,1,sp,sp,1,0.579,0,0.579,0.0124716553288,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,23.985,44.373
A1299WL9DI3TEF,11,ItemSandy,Verb,Pull,ISSANDYPUSHINGTORI,no,ListB,VersionC,nonrhyming,1,NO,NO,2,0.259,0,0.259,0.591156462585,119.704,136.81,0.012,108.88,0.259,131.040,123.761,115.008,110.296,74.708,80.190
A1299WL9DI3TEF,11,ItemSandy,Verb,Pull,ISSANDYPUSHINGTORI,no,ListB,VersionC,nonrhyming,1,SANDY,SANDY,5,0.369,0,0.369,0.850566893424,121.800,157.79,0.143,106.29,0.013,107.417,137.107,121.405,117.264,70.309,79.232
A1299WL9DI3TEF,11,ItemSandy,Verb,Pull,ISSANDYPUSHINGTORI,no,ListB,VersionC,nonrhyming,1,IS,IS,2,0.150,0,0.150,1.21972789116,110.174,114.57,0,101.94,0.108,113.686,111.525,106.612,102.754,73.432,79.392
A1299WL9DI3TEF,11,ItemSandy,Verb,Pull,ISSANDYPUSHINGTORI,no,ListB,VersionC,nonrhyming,1,PULLING,PULLING,5,0.389,0,0.389,1.3693877551,123.483,150.37,0.134,111.86,0.389,--undefined--,135.286,123.485,115.545,64.315,77.015
A1299WL9DI3TEF,11,ItemSandy,Verb,Pull,ISSANDYPUSHINGTORI,no,ListB,VersionC,nonrhyming,1,TORI,TORI,4,0.469,0,0.469,1.75850340136,112.396,139.19,0.125,95.74,0.465,118.547,120.138,109.581,104.100,66.816,74.363
A1299WL9DI3TEF,11,ItemSandy,Verb,Pull,ISSANDYPUSHINGTORI,no,ListB,VersionC,nonrhyming,1,sp,sp,0,0.409,0,0.409,2.22743764172,95.744,95.74,0,95.74,0,95.744,--undefined--,--undefined--,--undefined--,21.121,49.956
A1299WL9DI3TEF,14,ItemBilly,YesControl,Lift,ISBILLYKISSINGANDY,yes,ListB,VersionC,nonrhyming,1,sp,sp,1,0.529,0,0.529,0.0124716553288,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,18.555,31.830
A1299WL9DI3TEF,14,ItemBilly,YesControl,Lift,ISBILLYKISSINGANDY,yes,ListB,VersionC,nonrhyming,1,YES,YES,3,0.329,0,0.329,0.54126984127,122.908,165.41,0.040,99.85,0.240,148.223,120.670,110.329,--undefined--,70.408,81.939
A1299WL9DI3TEF,14,ItemBilly,YesControl,Lift,ISBILLYKISSINGANDY,yes,ListB,VersionC,nonrhyming,1,BILLY,BILLY,4,0.299,0,0.299,0.87052154195,125.171,181.85,0.081,116.17,0.299,--undefined--,135.332,119.458,120.858,69.620,82.479
A1299WL9DI3TEF,14,ItemBilly,YesControl,Lift,ISBILLYKISSINGANDY,yes,ListB,VersionC,nonrhyming,1,IS,IS,2,0.080,0,0.080,1.16984126984,112.225,116.17,0,109.15,0.033,114.252,110.574,111.087,--undefined--,74.823,81.844
A1299WL9DI3TEF,14,ItemBilly,YesControl,Lift,ISBILLYKISSINGANDY,yes,ListB,VersionC,nonrhyming,1,KISSING,KISSING,5,0.349,0,0.349,1.24965986395,122.387,149.19,0.098,102.02,0.182,145.154,126.111,117.647,119.982,70.268,82.577
A1299WL9DI3TEF,14,ItemBilly,YesControl,Lift,ISBILLYKISSINGANDY,yes,ListB,VersionC,nonrhyming,1,ANDY,ANDY,4,0.399,0,0.399,1.59886621315,109.350,116.34,0.005,93.58,0.330,114.844,111.090,107.204,100.618,70.502,78.336
A1299WL9DI3TEF,14,ItemBilly,YesControl,Lift,ISBILLYKISSINGANDY,yes,ListB,VersionC,nonrhyming,1,sp,sp,0,0.180,0,0.180,1.99795918367,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,18.469,40.563
A1299WL9DI3TEF,15,ItemSandy,Patient,Pull,ISSANDYPULLINGLONNIE,no,ListB,VersionC,nonrhyming,1,sp,sp,1,0.668,0,0.668,0.0124716553288,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,13.908,36.729
A1299WL9DI3TEF,15,ItemSandy,Patient,Pull,ISSANDYPULLINGLONNIE,no,ListB,VersionC,nonrhyming,1,NO,NO,2,0.249,0,0.249,0.680952380952,119.146,153.10,0.011,108.73,0.249,133.879,116.918,114.713,112.608,73.493,77.482
A1299WL9DI3TEF,15,ItemSandy,Patient,Pull,ISSANDYPULLINGLONNIE,no,ListB,VersionC,nonrhyming,1,SANDY,SANDY,5,0.379,0,0.379,0.930385487528,118.418,153.14,0.142,98.62,0.032,103.492,133.554,116.451,117.833,72.641,81.195
A1299WL9DI3TEF,15,ItemSandy,Patient,Pull,ISSANDYPULLINGLONNIE,no,ListB,VersionC,nonrhyming,1,IS,IS,2,0.130,0,0.130,1.30952380952,110.896,116.38,0,104.86,0.083,114.702,111.001,105.398,--undefined--,71.873,81.132
A1299WL9DI3TEF,15,ItemSandy,Patient,Pull,ISSANDYPULLINGLONNIE,no,ListB,VersionC,nonrhyming,1,PULLING,PULLING,5,0.339,0,0.339,1.43922902494,118.837,149.48,0.093,109.38,0.339,--undefined--,127.475,116.361,113.021,68.095,76.608
