"","presentationnum","participant","verb","condition","word","word_num","duration","meanIntensity","meanpit"
"1",10,"A1299WL9DI3TEF","ItemBonnie","YesControl","sp",1,0.639,"17.324","--undefined--"
"2",10,"A1299WL9DI3TEF","ItemBonnie","YesControl","YES",2,0.389,"66.547","117.146"
"3",10,"A1299WL9DI3TEF","ItemBonnie","YesControl","BONNIE",3,0.249,"68.497","122.383"
"4",10,"A1299WL9DI3TEF","ItemBonnie","YesControl","IS",4,0.15,"74.489","113.594"
"5",10,"A1299WL9DI3TEF","ItemBonnie","YesControl","KICKING",5,0.369,"64.900","118.403"
"6",10,"A1299WL9DI3TEF","ItemBonnie","YesControl","LAURIE",6,0.389,"67.047","106.873"
"7",10,"A1299WL9DI3TEF","ItemBonnie","YesControl","sp",7,0.439,"16.702","--undefined--"
"8",11,"A1299WL9DI3TEF","ItemSandy","Verb","sp",1,0.579,"23.985","--undefined--"
"9",11,"A1299WL9DI3TEF","ItemSandy","Verb","NO",2,0.259,"74.708","119.704"
"10",11,"A1299WL9DI3TEF","ItemSandy","Verb","SANDY",3,0.369,"70.309","121.800"
"11",11,"A1299WL9DI3TEF","ItemSandy","Verb","IS",4,0.15,"73.432","110.174"
"12",11,"A1299WL9DI3TEF","ItemSandy","Verb","PULLING",5,0.389,"64.315","123.483"
"13",11,"A1299WL9DI3TEF","ItemSandy","Verb","TORI",6,0.469,"66.816","112.396"
"14",11,"A1299WL9DI3TEF","ItemSandy","Verb","sp",7,0.409,"21.121","95.744"
"15",14,"A1299WL9DI3TEF","ItemBilly","YesControl","sp",1,0.529,"18.555","--undefined--"
"16",14,"A1299WL9DI3TEF","ItemBilly","YesControl","YES",2,0.329,"70.408","122.908"
"17",14,"A1299WL9DI3TEF","ItemBilly","YesControl","BILLY",3,0.299,"69.620","125.171"
"18",14,"A1299WL9DI3TEF","ItemBilly","YesControl","IS",4,0.08,"74.823","112.225"
"19",14,"A1299WL9DI3TEF","ItemBilly","YesControl","KISSING",5,0.349,"70.268","122.387"
"20",14,"A1299WL9DI3TEF","ItemBilly","YesControl","ANDY",6,0.399,"70.502","109.350"
"21",14,"A1299WL9DI3TEF","ItemBilly","YesControl","sp",7,0.18,"18.469","--undefined--"
"22",15,"A1299WL9DI3TEF","ItemSandy","Patient","sp",1,0.668,"13.908","--undefined--"
"23",15,"A1299WL9DI3TEF","ItemSandy","Patient","NO",2,0.249,"73.493","119.146"
"24",15,"A1299WL9DI3TEF","ItemSandy","Patient","SANDY",3,0.379,"72.641","118.418"
"25",15,"A1299WL9DI3TEF","ItemSandy","Patient","IS",4,0.13,"71.873","110.896"
"26",15,"A1299WL9DI3TEF","ItemSandy","Patient","PULLING",5,0.339,"68.095","118.837"
"27",15,"A1299WL9DI3TEF","ItemSandy","Patient","TORI",6,0.449,"69.267","109.650"
"28",15,"A1299WL9DI3TEF","ItemSandy","Patient","sp",7,0.18,"37.786","95.260"
"29",17,"A1299WL9DI3TEF","ItemBilly","YesControl","sp",1,0.399,"15.651","--undefined--"
"30",17,"A1299WL9DI3TEF","ItemBilly","YesControl","YES",2,0.359,"73.232","119.284"
"31",17,"A1299WL9DI3TEF","ItemBilly","YesControl","BILLY",3,0.259,"70.766","125.534"
"32",17,"A1299WL9DI3TEF","ItemBilly","YesControl","IS",4,0.12,"75.704","114.048"
"33",17,"A1299WL9DI3TEF","ItemBilly","YesControl","KISSING",5,0.339,"70.837","121.978"
"34",17,"A1299WL9DI3TEF","ItemBilly","YesControl","ANDY",6,0.339,"73.512","107.648"
"35",17,"A1299WL9DI3TEF","ItemBilly","YesControl","sp",7,0.249,"28.358","--undefined--"
"36",19,"A1299WL9DI3TEF","ItemSandy","YesControl","sp",1,0.579,"19.381","--undefined--"
"37",19,"A1299WL9DI3TEF","ItemSandy","YesControl","YES",2,0.259,"70.513","111.764"
"38",19,"A1299WL9DI3TEF","ItemSandy","YesControl","SANDY",3,0.379,"69.490","121.965"
"39",19,"A1299WL9DI3TEF","ItemSandy","YesControl","IS",4,0.15,"68.173","111.033"
"40",19,"A1299WL9DI3TEF","ItemSandy","YesControl","PULLING",5,0.309,"68.768","117.751"
"41",19,"A1299WL9DI3TEF","ItemSandy","YesControl","TORI",6,0.389,"69.322","111.418"
"42",19,"A1299WL9DI3TEF","ItemSandy","YesControl","sp",7,0.19,"31.253","94.902"
"43",20,"A1299WL9DI3TEF","ItemBonnie","Patient","sp",1,0.319,"19.578","--undefined--"
"44",20,"A1299WL9DI3TEF","ItemBonnie","Patient","NO",2,0.279,"65.640","122.792"
"45",20,"A1299WL9DI3TEF","ItemBonnie","Patient","BONNIE",3,0.289,"74.418","113.066"
"46",20,"A1299WL9DI3TEF","ItemBonnie","Patient","IS",4,0.14,"73.993","117.243"
"47",20,"A1299WL9DI3TEF","ItemBonnie","Patient","KICKING",5,0.359,"62.389","127.097"
"48",20,"A1299WL9DI3TEF","ItemBonnie","Patient","LAURIE",6,0.389,"72.018","107.887"
"49",20,"A1299WL9DI3TEF","ItemBonnie","Patient","sp",7,0.249,"31.313","--undefined--"
"50",24,"A1299WL9DI3TEF","ItemSandy","Agent","sp",1,0.279,"22.075","--undefined--"
"51",24,"A1299WL9DI3TEF","ItemSandy","Agent","NO",2,0.239,"73.402","120.894"
"52",24,"A1299WL9DI3TEF","ItemSandy","Agent","SANDY",3,0.419,"73.254","119.651"
"53",24,"A1299WL9DI3TEF","ItemSandy","Agent","IS",4,0.15,"69.731","108.033"
"54",24,"A1299WL9DI3TEF","ItemSandy","Agent","PULLING",5,0.319,"68.891","118.886"
"55",24,"A1299WL9DI3TEF","ItemSandy","Agent","TORI",6,0.399,"70.147","113.208"
"56",24,"A1299WL9DI3TEF","ItemSandy","Agent","sp",7,0.22,"30.241","--undefined--"
"57",25,"A1299WL9DI3TEF","ItemBilly","YesControl","sp",1,0.309,"21.545","--undefined--"
"58",25,"A1299WL9DI3TEF","ItemBilly","YesControl","YES",2,0.309,"72.597","117.467"
"59",25,"A1299WL9DI3TEF","ItemBilly","YesControl","BILLY",3,0.269,"68.487","122.087"
"60",25,"A1299WL9DI3TEF","ItemBilly","YesControl","IS",4,0.1,"75.464","108.211"
"61",25,"A1299WL9DI3TEF","ItemBilly","YesControl","KISSING",5,0.349,"71.851","122.744"
"62",25,"A1299WL9DI3TEF","ItemBilly","YesControl","ANDY",6,0.309,"72.701","106.114"
"63",25,"A1299WL9DI3TEF","ItemBilly","YesControl","sp",7,0.19,"32.565","99.427"
"64",29,"A1299WL9DI3TEF","ItemDory","Agent","sp",1,0.309,"23.273","--undefined--"
"65",29,"A1299WL9DI3TEF","ItemDory","Agent","NO",2,0.279,"70.054","117.208"
"66",29,"A1299WL9DI3TEF","ItemDory","Agent","DORY",3,0.359,"74.564","117.067"
"67",29,"A1299WL9DI3TEF","ItemDory","Agent","IS",4,0.14,"74.020","111.281"
"68",29,"A1299WL9DI3TEF","ItemDory","Agent","POKING",5,0.389,"69.629","121.262"
"69",29,"A1299WL9DI3TEF","ItemDory","Agent","DONNY",6,0.379,"71.186","108.237"
"70",29,"A1299WL9DI3TEF","ItemDory","Agent","sp",7,0.259,"28.114","--undefined--"
"71",30,"A1299WL9DI3TEF","ItemBonnie","YesControl","sp",1,0.589,"13.983","--undefined--"
"72",30,"A1299WL9DI3TEF","ItemBonnie","YesControl","YES",2,0.289,"72.008","115.969"
"73",30,"A1299WL9DI3TEF","ItemBonnie","YesControl","BONNIE",3,0.299,"71.551","121.172"
"74",30,"A1299WL9DI3TEF","ItemBonnie","YesControl","IS",4,0.11,"75.714","113.941"
"75",30,"A1299WL9DI3TEF","ItemBonnie","YesControl","KICKING",5,0.399,"67.051","121.619"
"76",30,"A1299WL9DI3TEF","ItemBonnie","YesControl","LAURIE",6,0.339,"71.616","108.643"
"77",30,"A1299WL9DI3TEF","ItemBonnie","YesControl","sp",7,0.229,"31.183","--undefined--"
"78",31,"A1299WL9DI3TEF","ItemSandy","Agent","sp",1,0.389,"33.323","103.657"
"79",31,"A1299WL9DI3TEF","ItemSandy","Agent","NO",2,0.2,"75.964","121.085"
"80",31,"A1299WL9DI3TEF","ItemSandy","Agent","SANDY",3,0.439,"75.547","120.986"
"81",31,"A1299WL9DI3TEF","ItemSandy","Agent","IS",4,0.19,"71.676","127.593"
"82",31,"A1299WL9DI3TEF","ItemSandy","Agent","PULLING",5,0.329,"71.484","121.193"
"83",31,"A1299WL9DI3TEF","ItemSandy","Agent","TORI",6,0.419,"72.257","116.320"
"84",31,"A1299WL9DI3TEF","ItemSandy","Agent","sp",7,0.15,"52.093","112.493"
"85",34,"A1299WL9DI3TEF","ItemDory","YesControl","sp",1,0.439,"24.181","167.530"
"86",34,"A1299WL9DI3TEF","ItemDory","YesControl","YES",2,0.369,"68.379","123.053"
"87",34,"A1299WL9DI3TEF","ItemDory","YesControl","DORY",3,0.249,"76.887","126.717"
"88",34,"A1299WL9DI3TEF","ItemDory","YesControl","IS",4,0.12,"73.538","119.329"
"89",34,"A1299WL9DI3TEF","ItemDory","YesControl","POKING",5,0.349,"67.313","124.672"
"90",34,"A1299WL9DI3TEF","ItemDory","YesControl","DONNY",6,0.399,"73.989","113.039"
"91",34,"A1299WL9DI3TEF","ItemDory","YesControl","sp",7,0.14,"42.313","95.323"
"92",35,"A1299WL9DI3TEF","ItemBonnie","Verb","sp",1,0.509,"25.190","152.846"
"93",35,"A1299WL9DI3TEF","ItemBonnie","Verb","NO",2,0.229,"73.758","118.420"
"94",35,"A1299WL9DI3TEF","ItemBonnie","Verb","BONNIE",3,0.359,"75.492","115.351"
"95",35,"A1299WL9DI3TEF","ItemBonnie","Verb","IS",4,0.15,"69.777","114.538"
"96",35,"A1299WL9DI3TEF","ItemBonnie","Verb","KICKING",5,0.419,"65.611","122.285"
"97",35,"A1299WL9DI3TEF","ItemBonnie","Verb","LAURIE",6,0.349,"69.192","110.638"
"98",35,"A1299WL9DI3TEF","ItemBonnie","Verb","sp",7,0.15,"36.636","--undefined--"
"99",39,"A1299WL9DI3TEF","ItemBilly","Verb","sp",1,0.439,"15.337","--undefined--"
"100",39,"A1299WL9DI3TEF","ItemBilly","Verb","NO",2,0.2,"70.911","116.732"
"101",39,"A1299WL9DI3TEF","ItemBilly","Verb","BILLY",3,0.369,"73.626","117.864"
"102",39,"A1299WL9DI3TEF","ItemBilly","Verb","IS",4,0.1,"70.771","109.910"
"103",39,"A1299WL9DI3TEF","ItemBilly","Verb","KISSING",5,0.379,"71.152","123.626"
"104",39,"A1299WL9DI3TEF","ItemBilly","Verb","ANDY",6,0.309,"73.519","107.941"
"105",39,"A1299WL9DI3TEF","ItemBilly","Verb","sp",7,0.229,"59.267","117.394"
"106",40,"A1299WL9DI3TEF","ItemBonnie","Agent","sp",1,0.279,"30.229","--undefined--"
"107",40,"A1299WL9DI3TEF","ItemBonnie","Agent","NO",2,0.22,"75.020","123.850"
"108",40,"A1299WL9DI3TEF","ItemBonnie","Agent","BONNIE",3,0.349,"72.981","114.777"
"109",40,"A1299WL9DI3TEF","ItemBonnie","Agent","IS",4,0.12,"75.048","111.815"
"110",40,"A1299WL9DI3TEF","ItemBonnie","Agent","KICKING",5,0.379,"64.351","125.247"
"111",40,"A1299WL9DI3TEF","ItemBonnie","Agent","LAURIE",6,0.309,"72.553","113.469"
