,trial_id,worker_id,supposed_answer_transcript,auto_transcript,status,answer_files
784,1,A3J55BJGV95JKH,no Kimmy is kicking Tommy,no Kimi is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/A3J55BJGV95JKH_prosody_study_exp1_12_5_2019_trial_01.wav
620,1,A1AKL5YH9NLD2V,no Kimmy is kicking Tommy,yes Chloe kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/A1AKL5YH9NLD2V_prosody_study_exp1_11_7_2019_trial_01.wav
818,1,A27ZE20JZ3VDUP,no Kimmy is kicking Tommy,no Kimi is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/A27ZE20JZ3VDUP_prosody_study_exp1_12_5_2019_trial_01.wav
253,1,A1QEQOI98976S0,no Kimmy is kicking Tommy,yes Chloe's kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/A1QEQOI98976S0_prosody_study_exp1_12_5_2019_trial_01.wav
532,1,A1SWV4X4PD25S1,no Kimmy is kicking Tommy,no Jimmy is taking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/A1SWV4X4PD25S1_prosody_study_exp1_12_5_2019_trial_01.wav
723,1,A1IXH2QLUU5BKZ,no Kimmy is kicking Tommy,no Kimi is taking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/A1IXH2QLUU5BKZ_prosody_study_exp1_12_5_2019_trial_01.wav
539,1,A29AKJXQ248KNK,no Kimmy is kicking Tommy,no Kimi is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/A29AKJXQ248KNK_prosody_study_exp1_12_5_2019_trial_01.wav
110,1,A2BNOEYZ3VRW2R_,no Kimmy is kicking Tommy,no Timmy escaping Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/A2BNOEYZ3VRW2R_prosody_study_exp1_11_10_2019_trial_01.wav
212,1,ALMAI0EOCZWNM,no Kimmy is kicking Tommy,no Kimi is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/ALMAI0EOCZWNM_prosody_study_exp1_12_5_2019_trial_01.wav
413,1,A272X64FOZFYLB,no Kimmy is kicking Tommy,no Kimi is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/A272X64FOZFYLB_prosody_study_exp1_12_5_2019_trial_01.wav
151,1,AAXX5LDVJ32F8,no Kimmy is kicking Tommy,no Jimmy just kidding Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/AAXX5LDVJ32F8_prosody_study_exp1_12_5_2019_trial_01.wav
939,1,ALM8YFO0272UR,no Kimmy is kicking Tommy,no Kami is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/ALM8YFO0272UR_prosody_study_exp1_12_5_2019_trial_01.wav
935,1,A1QT7BQZVOBSY0,no Kimmy is kicking Tommy,no Timmy is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/A1QT7BQZVOBSY0_prosody_study_exp1_12_5_2019_trial_01.wav
415,1,A3BUWQ5C39GRQC,no Kimmy is kicking Tommy,Timmy sticking tongue,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/A3BUWQ5C39GRQC_prosody_study_exp1_12_5_2019_trial_01.wav
554,1,A1NZFJHVJ9CNTO,no Kimmy is kicking Tommy,no Kimi is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/A1NZFJHVJ9CNTO_prosody_study_exp1_12_5_2019_trial_01.wav
668,1,A2ZIATVCA2NKPF,no Kimmy is kicking Tommy,no Kimmy's kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/A2ZIATVCA2NKPF_prosody_study_exp1_12_5_2019_trial_01.wav
882,1,A3QL8ZAD9BKWUF,no Kimmy is kicking Tommy,NA,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/A3QL8ZAD9BKWUF_prosody_study_exp1_12_5_2019_trial_01.wav
380,1,A2LAMCJLVCRQ4T,no Kimmy is kicking Tommy,no tenia sticking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/A2LAMCJLVCRQ4T_prosody_study_exp1_12_5_2019_trial_01.wav
531,1,AOAZMLP27GD81,no Kimmy is kicking Tommy,no Kimi is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/AOAZMLP27GD81_prosody_study_exp1_12_4_2019_trial_01.wav
488,1,A9LSEP71DNP4O,no Kimmy is kicking Tommy,no Kimi is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/A9LSEP71DNP4O_prosody_study_exp1_12_5_2019_trial_01.wav
984,1,A3FOKP72T5I4FR,no Kimmy is kicking Tommy,no Jimmy is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/A3FOKP72T5I4FR_prosody_study_exp1_12_5_2019_trial_01.wav
594,1,A273EH17NSJRH0,no Kimmy is kicking Tommy,no Kimi is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/A273EH17NSJRH0_prosody_study_exp1_12_4_2019_trial_01.wav
836,1,A21D5QDKDO65OM,no Kimmy is kicking Tommy,no Timmy is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/A21D5QDKDO65OM_prosody_study_exp1_12_4_2019_trial_01.wav
8,1,A3O5EU9QQV2OS1,no Kimmy is kicking Tommy,no jimmies kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/A3O5EU9QQV2OS1_prosody_study_exp1_12_5_2019_trial_01.wav
463,1,A2C84POENS2UNY,no Kimmy is kicking Tommy,no Kami is kicking tummy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/A2C84POENS2UNY_prosody_study_exp1_12_5_2019_trial_01.wav
96,1,AEWGY34WUIA32,no Kimmy is kicking Tommy,no Kimi is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/AEWGY34WUIA32_prosody_study_exp1_12_5_2019_trial_01.wav
786,1,AJRY9ALX8069Y,no Kimmy is kicking Tommy,no Kimi is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/AJRY9ALX8069Y_prosody_study_exp1_12_5_2019_trial_01.wav
840,1,A31R560IXODLDC,no Kimmy is kicking Tommy,know Kenny is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/A31R560IXODLDC_prosody_study_exp1_12_4_2019_trial_01.wav
171,1,ACWBK5ISFR2B2_,no Kimmy is kicking Tommy,can meat eating Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/ACWBK5ISFR2B2_prosody_study_exp1_11_10_2019_trial_01.wav
80,1,ASKAY33IJ3KAQ,no Kimmy is kicking Tommy,no Kimi is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/ASKAY33IJ3KAQ_prosody_study_exp1_12_5_2019_trial_01.wav
358,1,AQORJW4W8U9YU,no Kimmy is kicking Tommy,no Kimi is kicking timing,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/AQORJW4W8U9YU_prosody_study_exp1_12_5_2019_trial_01.wav
73,2,A3O5EU9QQV2OS1,no Kimmy is kicking Tommy,no Jimmy's Kickin Tom,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/A3O5EU9QQV2OS1_prosody_study_exp1_12_5_2019_trial_02.wav
918,2,A3FOKP72T5I4FR,no Kimmy is kicking Tommy,no Jimmy is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/A3FOKP72T5I4FR_prosody_study_exp1_12_5_2019_trial_02.wav
311,2,AQORJW4W8U9YU,no Kimmy is kicking Tommy,no Kimmy is kicking,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/AQORJW4W8U9YU_prosody_study_exp1_12_5_2019_trial_02.wav
717,2,AJRY9ALX8069Y,no Kimmy is kicking Tommy,no Kimi is kicking Tommy,auto_fail,/Users/xzfang/Desktop/prosody_study_data/exp1/responses_to_analyze/AJRY9ALX8069Y_prosody_study_exp1_12_5_2019_trial_02.wav
