,question_file,question_script
0,MaitetocoaIngrid.wav,¿Maite toco a Ingrid?
1,PabloempujoaNadia.wav,¿Pablo empujo a Nadia?
2,OmarempujoaEva.wav,¿Omar empujo a Eva?
3,OmarempujoaPilar.wav,¿Omar empujo a Pilar?
4,TaniapateoaLucas.wav,¿Tania pateo a Lucas?
5,SilviatocoaSergio.wav,¿Silvia toco a Sergio?
6,VíctorlevantoaSandra.wav,¿Víctor levanto a Sandra?
7,GeorgeempujoaSandra.wav,¿George empujo a Sandra?
8,FabioempujoaJulia.wav,¿Fabio empujo a Julia?
9,EvapateoaMiguel.wav,¿Eva pateo a Miguel?
10,SilviabesoaSergio.wav,¿Silvia beso a Sergio?
11,VíctorempujoaJuncal.wav,¿Víctor empujo a Juncal?
12,EvatirodeRaquel.wav,¿Eva tiro de Raquel?
13,PabloempujoaSandra.wav,¿Pablo empujo a Sandra?
14,SilvialevantoaSergio.wav,¿Silvia levanto a Sergio?
15,EvabesoaFabio.wav,¿Eva beso a Fabio?
16,SalmatirodeRaquel.wav,¿Salma tiro de Raquel?
17,BelentirodeInes.wav,¿Belen tiro de Ines?
18,VíctorempujoaSandra.wav,¿Víctor empujo a Sandra?
19,TaniapateoaSimon.wav,¿Tania pateo a Simon?
20,TanialevantoaSimon.wav,¿Tania levanto a Simon?
21,HugoempujoaJuncal.wav,¿Hugo empujo a Juncal?
22,AndresempujoaOlga.wav,¿Andres empujo a Olga?
23,VíctorpateoaSandra.wav,¿Víctor pateo a Sandra?
24,SalmatirodeAna.wav,¿Salma tiro de Ana?
25,TaniapateoaHugo.wav,¿Tania pateo a Hugo?
26,SalmapateoaRaquel.wav,¿Salma pateo a Raquel?
27,IvanlevantoaRaul.wav,¿Ivan levanto a Raul?
28,JuliapateoaSimon.wav,¿Julia pateo a Simon?
29,JuliapateoaMario.wav,¿Julia pateo a Mario?
30,IvanlevantoaDiego.wav,¿Ivan levanto a Diego?
31,NuriapateoaMiguel.wav,¿Nuria pateo a Miguel?
32,NadiabesoaEdgar.wav,¿Nadia beso a Edgar?
33,JoaquinempujoaNuria.wav,¿Joaquin empujo a Nuria?
34,InesbesoaPablo.wav,¿Ines beso a Pablo?
35,SilviabesoaMiguel.wav,¿Silvia beso a Miguel?
36,MiguelempujoaIngrid.wav,¿Miguel empujo a Ingrid?
37,InestirodeOlga.wav,¿Ines tiro de Olga?
38,BelentirodeMaite.wav,¿Belen tiro de Maite?
39,InestocoaLaura.wav,¿Ines toco a Laura?
40,SilviabesoaAndres.wav,¿Silvia beso a Andres?
41,LaurapateoaHugo.wav,¿Laura pateo a Hugo?
42,EvabesoaPedro.wav,¿Eva beso a Pedro?
43,JuanatirodeLaura.wav,¿Juana tiro de Laura?
44,BelentirodeJuncal.wav,¿Belen tiro de Juncal?
45,JuliabesoaEdgar.wav,¿Julia beso a Edgar?
46,AlbabesoaSergio.wav,¿Alba beso a Sergio?
47,AnatirodeMaite.wav,¿Ana tiro de Maite?
48,OlgabesoaSergio.wav,¿Olga beso a Sergio?
49,InespateoaMiguel.wav,¿Ines pateo a Miguel?
50,IngridbesoaHugo.wav,¿Ingrid beso a Hugo?
51,EstertirodeRaquel.wav,¿Ester tiro de Raquel?
52,EsterpateoaMiguel.wav,¿Ester pateo a Miguel?
53,OlgapateoaAndres.wav,¿Olga pateo a Andres?
54,SalmatirodeJudit.wav,¿Salma tiro de Judit?
55,VíctorempujoaJuana.wav,¿Víctor empujo a Juana?
56,LaurabesoaGabriel.wav,¿Laura beso a Gabriel?
57,PaulatocoaJudit.wav,¿Paula toco a Judit?
58,IvanlevantoaAndres.wav,¿Ivan levanto a Andres?
59,CocopateoaLucas.wav,¿Coco pateo a Lucas?
60,TaniatocoaSimon.wav,¿Tania toco a Simon?
61,PedroempujoaMaite.wav,¿Pedro empujo a Maite?
62,JuliapateoaBorja.wav,¿Julia pateo a Borja?
63,PilarpateoaSimon.wav,¿Pilar pateo a Simon?
64,NadiapateoaEdgar.wav,¿Nadia pateo a Edgar?
65,LauratirodeEmma.wav,¿Laura tiro de Emma?
66,EmmatocoaAna.wav,¿Emma toco a Ana?
