,question_file,question_script
0,PaulapateóaMario.wav,¿Paula pateó a Mario?
1,NadiabesóaEdgar.wav,¿Nadia besó a Edgar?
2,OmaralzóaEva.wav,¿Omar alzó a Eva?
3,AnapateóaRaúl.wav,¿Ana pateó a Raúl?
4,TaniabesóaGabriel.wav,¿Tania besó a Gabriel?
5,SilviatocóaSergio.wav,¿Silvia tocó a Sergio?
6,SalmabesóaSandra.wav,¿Salma besó a Sandra?
7,AlbatocóaSandra.wav,¿Alba tocó a Sandra?
8,EsterhalóaLaura.wav,¿Ester haló a Laura?
9,JuliatocóaMaite.wav,¿Julia tocó a Maite?
10,SilviapateóaSergio.wav,¿Silvia pateó a Sergio?
11,SalmatocóaPilar.wav,¿Salma tocó a Pilar?
12,PedroalzóaRaquel.wav,¿Pedro alzó a Raquel?
13,EstertocóaSandra.wav,¿Ester tocó a Sandra?
14,SilviaalzóaSergio.wav,¿Silvia alzó a Sergio?
15,EvapateóaFabio.wav,¿Eva pateó a Fabio?
16,VíctoralzóaRaquel.wav,¿Víctor alzó a Raquel?
17,EdgaralzóaAna.wav,¿Edgar alzó a Ana?
18,SalmatocóaSandra.wav,¿Salma tocó a Sandra?
19,TaniabesóaSimón.wav,¿Tania besó a Simón?
20,TaniapateóaSimón.wav,¿Tania pateó a Simón?
21,MaitehalóaNuria.wav,¿Maite haló a Nuria?
22,CocopateóaMiguel.wav,¿Coco pateó a Miguel?
23,SalmaalzóaSandra.wav,¿Salma alzó a Sandra?
24,VíctoralzóaJulia.wav,¿Víctor alzó a Julia?
25,TaniabesóaFabio.wav,¿Tania besó a Fabio?
26,VíctorhalóaRaquel.wav,¿Víctor haló a Raquel?
27,JuditbesóaHugo.wav,¿Judit besó a Hugo?
28,InésbesóaSimón.wav,¿Inés besó a Simón?
29,JuliatocóaInés.wav,¿Julia tocó a Inés?
30,JudithalóaEmma.wav,¿Judit haló a Emma?
31,NuriahalóaJulia.wav,¿Nuria haló a Julia?
32,NadiapateóaEdgar.wav,¿Nadia pateó a Edgar?
33,JuanabesóaMario.wav,¿Juana besó a Mario?
34,InésbesóaBorja.wav,¿Inés besó a Borja?
35,SilviapateóaGabriel.wav,¿Silvia pateó a Gabriel?
36,LaurapateóaIván.wav,¿Laura pateó a Iván?
37,VíctorpateóaRaquel.wav,¿Víctor pateó a Raquel?
38,EsterhalóaEmma.wav,¿Ester haló a Emma?
39,BelénbesóaGeorge.wav,¿Belén besó a George?
40,OlgapateóaHugo.wav,¿Olga pateó a Hugo?
41,SilviapateóaEric.wav,¿Silvia pateó a Eric?
42,JuliapateóaHugo.wav,¿Julia pateó a Hugo?
43,EsterpateóaHugo.wav,¿Ester pateó a Hugo?
44,JuanatocóaLaura.wav,¿Juana tocó a Laura?
45,BelénhalóaJuncal.wav,¿Belén haló a Juncal?
46,PilarpateóaMiguel.wav,¿Pilar pateó a Miguel?
47,OlgapateóaSergio.wav,¿Olga pateó a Sergio?
48,InésbesóaPablo.wav,¿Inés besó a Pablo?
49,LaurapateóaSergio.wav,¿Laura pateó a Sergio?
50,GeorgealzóaOlga.wav,¿George alzó a Olga?
51,EvapateóaEdgar.wav,¿Eva pateó a Edgar?
52,JoaquínalzóaRaquel.wav,¿Joaquín alzó a Raquel?
53,CocopateóaGabriel.wav,¿Coco pateó a Gabriel?
54,GabrielalzóaEmma.wav,¿Gabriel alzó a Emma?
55,VíctoralzóaLaura.wav,¿Víctor alzó a Laura?
56,SalmatocóaIngrid.wav,¿Salma tocó a Ingrid?
57,LaurahalóaEva.wav,¿Laura haló a Eva?
58,PaulatocóaJudit.wav,¿Paula tocó a Judit?
59,IngridtocóaJuncal.wav,¿Ingrid tocó a Juncal?
60,LaurabesóaMiguel.wav,¿Laura besó a Miguel?
61,JudithalóaBelén.wav,¿Judit haló a Belén?
62,InéspateóaHugo.wav,¿Inés pateó a Hugo?
63,OlgabesóaSimón.wav,¿Olga besó a Simón?
64,HugoalzóaNadia.wav,¿Hugo alzó a Nadia?
65,OlgabesóaLucas.wav,¿Olga besó a Lucas?
66,EmmahalóaAna.wav,¿Emma haló a Ana?
