,question_file,question_script
0,IsLaceyPokingBrandy.wav,is Lacey poking Brandy
1,IsFreddyPushingBrandy.wav,is Freddy pushing Brandy
2,IsPercyPushingMolly.wav,is Percy pushing Molly
3,IsKennyPushingTracy.wav,is Kenny pushing Tracy
4,IsKimmyKickingDavey.wav,is Kimmy kicking Davey
5,IsBonniePokingBenny.wav,is Bonnie poking Benny
6,IsJoeyLiftingKerry.wav,is Joey lifting Kerry
7,IsWallyPushingKerry.wav,is Wally pushing Kerry
8,IsHarveyPushingSally.wav,is Harvey pushing Sally
9,IsLillyKickingDavey.wav,is Lilly kicking Davey
10,IsBonnieKissingBenny.wav,is Bonnie kissing Benny
11,IsJoeyPushingHailey.wav,is Joey pushing Hailey
12,IsFrannyPullingJudy.wav,is Franny pulling Judy
13,IsTimmyPushingKerry.wav,is Timmy pushing Kerry
14,IsBonnieLiftingBenny.wav,is Bonnie lifting Benny
15,IsBrandyKissingJohnny.wav,is Brandy kissing Johnny
16,IsKellyPullingJudy.wav,is Kelly pulling Judy
17,IsCindyPullingBetty.wav,is Cindy pulling Betty
18,IsJoeyPushingKerry.wav,is Joey pushing Kerry
19,IsKimmyKickingTommy.wav,is Kimmy kicking Tommy
20,IsKimmyLiftingTommy.wav,is Kimmy lifting Tommy
21,IsJohnnyPushingChloe.wav,is Johnny pushing Chloe
22,IsRonniePushingBrandy.wav,is Ronnie pushing Brandy
23,IsJoeyKickingKerry.wav,is Joey kicking Kerry
24,IsKellyPullingCarrie.wav,is Kelly pulling Carrie
25,IsKimmyKickingFreddy.wav,is Kimmy kicking Freddy
26,IsKellyKickingJudy.wav,is Kelly kicking Judy
27,IsHenryLiftingRonnie.wav,is Henry lifting Ronnie
28,IsChloeKickingTommy.wav,is Chloe kicking Tommy
29,IsChloeKickingGary.wav,is Chloe kicking Gary
30,IsHenryLiftingOllie.wav,is Henry lifting Ollie
31,IsMollyKickingPercy.wav,is Molly kicking Percy
32,IsMindyKissingDanny.wav,is Mindy kissing Danny
33,IsTeddyPushingMolly.wav,is Teddy pushing Molly
34,IsNancyKissingJimmy.wav,is Nancy kissing Jimmy
35,IsBonnieKissingRonnie.wav,is Bonnie kissing Ronnie
36,IsOlliePushingHailey.wav,is Ollie pushing Hailey
37,IsLillyPullingBrandy.wav,is Lilly pulling Brandy
38,IsCindyPullingLilly.wav,is Cindy pulling Lilly
39,IsJennyPokingMindy.wav,is Jenny poking Mindy
40,IsBonnieKissingFreddy.wav,is Bonnie kissing Freddy
41,IsSallyKickingHarvey.wav,is Sally kicking Harvey
42,IsChloeKissingSammy.wav,is Chloe kissing Sammy
43,IsTracyPullingCindy.wav,is Tracy pulling Cindy
44,IsLaceyPullingTracy.wav,is Lacey pulling Tracy
45,IsVickyKissingJimmy.wav,is Vicky kissing Jimmy
46,IsSallyKissingBenny.wav,is Sally kissing Benny
47,IsJennyPullingVicky.wav,is Jenny pulling Vicky
48,IsHaileyKissingBenny.wav,is Hailey kissing Benny
49,IsBettyKickingHarvey.wav,is Betty kicking Harvey
50,IsBrandyKissingJerry.wav,is Brandy kissing Jerry
51,IsJennyPullingJudy.wav,is Jenny pulling Judy
52,IsChloeKickingHenry.wav,is Chloe kicking Henry
53,IsFrannyKickingJerry.wav,is Franny kicking Jerry
54,IsKellyPullingBrandy.wav,is Kelly pulling Brandy
55,IsJoeyPushingLaurie.wav,is Joey pushing Laurie
56,IsNancyKissingOllie.wav,is Nancy kissing Ollie
57,IsMandyPokingLacey.wav,is Mandy poking Lacey
58,IsDannyLiftingHenry.wav,is Danny lifting Henry
59,IsBettyKickingDanny.wav,is Betty kicking Danny
60,IsKimmyPokingTommy.wav,is Kimmy poking Tommy
61,IsHenryPushingBrandy.wav,is Henry pushing Brandy
62,IsJennyKickingJohnny.wav,is Jenny kicking Johnny
63,IsCarlieKickingTommy.wav,is Carlie kicking Tommy
64,IsSallyKickingRonnie.wav,is Sally kicking Ronnie
65,IsBettyPullingCarlie.wav,is Betty pulling Carlie
66,IsLauriePokingCarlie.wav,is Laurie poking Carlie
67,IsFrannyKickingTommy.wav,is Franny kicking Tommy
68,IsPennyKissingBenny.wav,is Penny kissing Benny
69,IsOlliePushingKerry.wav,is Ollie pushing Kerry
70,IsFreddyPushingKerry.wav,is Freddy pushing Kerry
71,IsJillyKissingBenny.wav,is Jilly kissing Benny
72,IsKylieKickingTommy.wav,is Kylie kicking Tommy
73,IsJerryPushingKerry.wav,is Jerry pushing Kerry
74,IsPennyPullingJudy.wav,is Penny pulling Judy
75,IsBrandyKickingTommy.wav,is Brandy kicking Tommy
76,IsLillyPullingJudy.wav,is Lilly pulling Judy
77,IsCarrieKissingBenny.wav,is Carrie kissing Benny
78,IsBrandyPullingJudy.wav,is Brandy pulling Judy
79,IsBettyPullingJudy.wav,is Betty pulling Judy
80,IsKennyPushingKerry.wav,is Kenny pushing Kerry
81,IsMindyKickingTommy.wav,is Mindy kicking Tommy
82,IsKellyPushingJudy.wav,is Kelly pushing Judy
83,IsKimmyPullingTommy.wav,is Kimmy pulling Tommy
84,IsBonniePullingBenny.wav,is Bonnie pulling Benny
85,IsKellyKissingJudy.wav,is Kelly kissing Judy
86,IsJoeyKissingKerry.wav,is Joey kissing Kerry
