trial_id,agent_in_picture,agent_in_question,filler_or_item_id,patient_in_picture,patient_in_question,position_condition,verb_in_picture,verb_in_question,picture_file,question_file,answer_script
01,Tori,Kelly,item_01,Wally,Wally,Agent,Kick,Kick,Tori_is_Kicking_Wally.png,Is_Kelly_Kicking_Wally.wav,No Tori is Kicking Wally.
02,Tori,Tori,item_01,Wally,Wally,Verb,Kick,Pull,Tori_is_Kicking_Wally.png,Is_Tori_Pulling_Wally.wav,No Tori is Kicking Wally.
03,Tori,Tori,item_01,Wally,Ronnie,Patient,Kick,Kick,Tori_is_Kicking_Wally.png,Is_Tori_Kicking_Ronnie.wav,No Tori is Kicking Wally.
04,Tori,Kelly,item_01,Wally,Wally,Agent,Kick,Kick,Tori_is_Kicking_Wally.png,Is_Kelly_Kicking_Wally.wav,No Tori is Kicking Wally.
05,Tori,Tori,item_01,Wally,Wally,Verb,Kick,Pull,Tori_is_Kicking_Wally.png,Is_Tori_Pulling_Wally.wav,No Tori is Kicking Wally.
06,Tori,Tori,item_01,Wally,Ronnie,Patient,Kick,Kick,Tori_is_Kicking_Wally.png,Is_Tori_Kicking_Ronnie.wav,No Tori is Kicking Wally.
07,Tori,Tori,item_01,Wally,Wally,Control,Kick,Kick,Tori_is_Kicking_Wally.png,Is_Tori_Kicking_Wally.wav,Yes Tori is Kicking Wally.
08,Tori,Tori,item_01,Wally,Wally,Control,Kick,Kick,Tori_is_Kicking_Wally.png,Is_Tori_Kicking_Wally.wav,Yes Tori is Kicking Wally.
09,Sanndy,Chloe,item_02,Timmy,Timmy,Agent,Kiss,Kiss,Sanndy_is_Kissing_Timmy.png,Is_Chloe_Kissing_Timmy.wav,No Sanndy is Kissing Timmy.
10,Sanndy,Sanndy,item_02,Timmy,Timmy,Verb,Kiss,Pull,Sanndy_is_Kissing_Timmy.png,Is_Sanndy_Pulling_Timmy.wav,No Sanndy is Kissing Timmy.
11,Sanndy,Sanndy,item_02,Timmy,Billy,Patient,Kiss,Kiss,Sanndy_is_Kissing_Timmy.png,Is_Sanndy_Kissing_Billy.wav,No Sanndy is Kissing Timmy.
12,Sanndy,Chloe,item_02,Timmy,Timmy,Agent,Kiss,Kiss,Sanndy_is_Kissing_Timmy.png,Is_Chloe_Kissing_Timmy.wav,No Sanndy is Kissing Timmy.
13,Sanndy,Sanndy,item_02,Timmy,Timmy,Verb,Kiss,Pull,Sanndy_is_Kissing_Timmy.png,Is_Sanndy_Pulling_Timmy.wav,No Sanndy is Kissing Timmy.
14,Sanndy,Sanndy,item_02,Timmy,Billy,Patient,Kiss,Kiss,Sanndy_is_Kissing_Timmy.png,Is_Sanndy_Kissing_Billy.wav,No Sanndy is Kissing Timmy.
15,Sanndy,Sanndy,item_02,Timmy,Timmy,Control,Kiss,Kiss,Sanndy_is_Kissing_Timmy.png,Is_Sanndy_Kissing_Timmy.wav,Yes Sanndy is Kissing Timmy.
16,Sanndy,Sanndy,item_02,Timmy,Timmy,Control,Kiss,Kiss,Sanndy_is_Kissing_Timmy.png,Is_Sanndy_Kissing_Timmy.wav,Yes Sanndy is Kissing Timmy.
17,Willy,Percy,item_03,Rudy,Rudy,Agent,Push,Push,Willy_is_Pushing_Rudy.png,Is_Percy_Pushing_Rudy.wav,No Willy is Pushing Rudy.
18,Willy,Willy,item_03,Rudy,Rudy,Verb,Push,Pull,Willy_is_Pushing_Rudy.png,Is_Willy_Pulling_Rudy.wav,No Willy is Pushing Rudy.
19,Willy,Willy,item_03,Rudy,Kimmy,Patient,Push,Push,Willy_is_Pushing_Rudy.png,Is_Willy_Pushing_Kimmy.wav,No Willy is Pushing Rudy.
20,Willy,Percy,item_03,Rudy,Rudy,Agent,Push,Push,Willy_is_Pushing_Rudy.png,Is_Percy_Pushing_Rudy.wav,No Willy is Pushing Rudy.
21,Willy,Willy,item_03,Rudy,Rudy,Verb,Push,Pull,Willy_is_Pushing_Rudy.png,Is_Willy_Pulling_Rudy.wav,No Willy is Pushing Rudy.
22,Willy,Willy,item_03,Rudy,Kimmy,Patient,Push,Push,Willy_is_Pushing_Rudy.png,Is_Willy_Pushing_Kimmy.wav,No Willy is Pushing Rudy.
23,Willy,Willy,item_03,Rudy,Rudy,Control,Push,Push,Willy_is_Pushing_Rudy.png,Is_Willy_Pushing_Rudy.wav,Yes Willy is Pushing Rudy.
24,Willy,Willy,item_03,Rudy,Rudy,Control,Push,Push,Willy_is_Pushing_Rudy.png,Is_Willy_Pushing_Rudy.wav,Yes Willy is Pushing Rudy.
25,Sandy,Annie,item_04,Penny,Penny,Agent,Pull,Pull,Sandy_is_Pulling_Penny.png,Is_Annie_Pulling_Penny.wav,No Sandy is Pulling Penny.
26,Sandy,Sandy,item_04,Penny,Penny,Verb,Pull,Kick,Sandy_is_Pulling_Penny.png,Is_Sandy_Kicking_Penny.wav,No Sandy is Pulling Penny.
27,Sandy,Sandy,item_04,Penny,Dory,Patient,Pull,Pull,Sandy_is_Pulling_Penny.png,Is_Sandy_Pulling_Dory.wav,No Sandy is Pulling Penny.
28,Sandy,Annie,item_04,Penny,Penny,Agent,Pull,Pull,Sandy_is_Pulling_Penny.png,Is_Annie_Pulling_Penny.wav,No Sandy is Pulling Penny.
29,Sandy,Sandy,item_04,Penny,Penny,Verb,Pull,Kick,Sandy_is_Pulling_Penny.png,Is_Sandy_Kicking_Penny.wav,No Sandy is Pulling Penny.
