trial_id,filler_or_item_id,position_condition,agent_in_picture,agent_in_question,verb_in_picture,verb_in_question,patient_in_picture,patient_in_question,picture_file,question_file,answer_script,question_script
54,filler_22,Control,Lacey,Lacey,Poke,Poke,Vicky,Vicky,LaceyIsPokingVicky.png,IsLaceyPokingVicky.wav,yes Lacey is poking Vicky,is Lacey poking Vicky
69,filler_37,Control,Freddy,Freddy,Push,Push,Molly,Molly,FreddyIsPushingMolly.png,IsFreddyPushingMolly.wav,yes Freddy is pushing Molly,is Freddy pushing Molly
48,filler_16,Control,Percy,Percy,Push,Push,Hailey,Hailey,PercyIsPushingHailey.png,IsPercyPushingHailey.wav,yes Percy is pushing Hailey,is Percy pushing Hailey
55,filler_23,Control,Kenny,Kenny,Push,Push,Mindy,Mindy,KennyIsPushingMindy.png,IsKennyPushingMindy.wav,yes Kenny is pushing Mindy,is Kenny pushing Mindy
06,item_01,Patient,Kimmy,Kimmy,Kick,Kick,Tommy,Davey,KimmyIsKickingTommy.png,IsKimmyKickingDavey.wav,no Kimmy is kicking Tommy,is Kimmy kicking Davey
11,item_02,Verb,Bonnie,Bonnie,Kiss,Poke,Benny,Benny,BonnieIsKissingBenny.png,IsBonniePokingBenny.wav,no Bonnie is kissing Benny,is Bonnie poking Benny
19,item_03,Verb,Joey,Joey,Push,Lift,Kerry,Kerry,JoeyIsPushingKerry.png,IsJoeyLiftingKerry.wav,no Joey is pushing Kerry,is Joey lifting Kerry
18,item_03,Agent,Joey,Wally,Push,Push,Kerry,Kerry,JoeyIsPushingKerry.png,IsWallyPushingKerry.wav,no Joey is pushing Kerry,is Wally pushing Kerry
45,filler_13,Control,Harvey,Harvey,Push,Push,Tracy,Tracy,HarveyIsPushingTracy.png,IsHarveyPushingTracy.wav,yes Harvey is pushing Tracy,is Harvey pushing Tracy
67,filler_35,Control,Lilly,Lilly,Kick,Kick,Percy,Percy,LillyIsKickingPercy.png,IsLillyKickingPercy.wav,yes Lilly is kicking Percy,is Lilly kicking Percy
16,item_02,Control,Bonnie,Bonnie,Kiss,Kiss,Benny,Benny,BonnieIsKissingBenny.png,IsBonnieKissingBenny.wav,yes Bonnie is kissing Benny,is Bonnie kissing Benny
21,item_03,Patient,Joey,Joey,Push,Push,Kerry,Hailey,JoeyIsPushingKerry.png,IsJoeyPushingHailey.wav,no Joey is pushing Kerry,is Joey pushing Hailey
26,item_04,Agent,Kelly,Franny,Pull,Pull,Judy,Judy,KellyIsPullingJudy.png,IsFrannyPullingJudy.wav,no Kelly is pulling Judy,is Franny pulling Judy
17,item_03,Agent,Joey,Timmy,Push,Push,Kerry,Kerry,JoeyIsPushingKerry.png,IsTimmyPushingKerry.wav,no Joey is pushing Kerry,is Timmy pushing Kerry
12,item_02,Verb,Bonnie,Bonnie,Kiss,Lift,Benny,Benny,BonnieIsKissingBenny.png,IsBonnieLiftingBenny.wav,no Bonnie is kissing Benny,is Bonnie lifting Benny
36,filler_04,Control,Brandy,Brandy,Kiss,Kiss,Sammy,Sammy,BrandyIsKissingSammy.png,IsBrandyKissingSammy.wav,yes Brandy is kissing Sammy,is Brandy kissing Sammy
