trial_id,filler_or_item_id,position_condition,agent_in_question,agent_in_picture,verb_in_question,verb_in_picture,patient_in_question,patient_in_picture,picture_file,question_file,answer_script
01,item_01,Agent,Kelly,Tori,Pull,Pull,Ronnie,Ronnie,Tori_is_Pulling_Ronnie.png,Is_Kelly_Pulling_Ronnie.wav,No Tori is Pulling Ronnie.
02,item_01,Verb,Kelly,Kelly,Pull,Kick,Ronnie,Ronnie,Kelly_is_Kicking_Ronnie.png,Is_Kelly_Pulling_Ronnie.wav,No Kelly is Kicking Ronnie.
03,item_01,Patient,Kelly,Kelly,Pull,Pull,Ronnie,Wally,Kelly_is_Pulling_Wally.png,Is_Kelly_Pulling_Ronnie.wav,No Kelly is Pulling Wally.
04,item_01,Agent,Kelly,Tori,Pull,Pull,Ronnie,Ronnie,Tori_is_Pulling_Ronnie.png,Is_Kelly_Pulling_Ronnie.wav,No Tori is Pulling Ronnie.
05,item_01,Verb,Kelly,Kelly,Pull,Kick,Ronnie,Ronnie,Kelly_is_Kicking_Ronnie.png,Is_Kelly_Pulling_Ronnie.wav,No Kelly is Kicking Ronnie.
06,item_01,Patient,Kelly,Kelly,Pull,Pull,Ronnie,Wally,Kelly_is_Pulling_Wally.png,Is_Kelly_Pulling_Ronnie.wav,No Kelly is Pulling Wally.
07,item_01,Control,Kelly,Kelly,Pull,Pull,Ronnie,Ronnie,Kelly_is_Pulling_Ronnie.png,Is_Kelly_Pulling_Ronnie.wav,Yes Kelly is Pulling Ronnie.
08,item_01,Control,Kelly,Kelly,Pull,Pull,Ronnie,Ronnie,Kelly_is_Pulling_Ronnie.png,Is_Kelly_Pulling_Ronnie.wav,Yes Kelly is Pulling Ronnie.
09,item_02,Agent,Chloe,Sanndy,Pull,Pull,Billy,Billy,Sanndy_is_Pulling_Billy.png,Is_Chloe_Pulling_Billy.wav,No Sanndy is Pulling Billy.
10,item_02,Verb,Chloe,Chloe,Pull,Kiss,Billy,Billy,Chloe_is_Kissing_Billy.png,Is_Chloe_Pulling_Billy.wav,No Chloe is Kissing Billy.
11,item_02,Patient,Chloe,Chloe,Pull,Pull,Billy,Timmy,Chloe_is_Pulling_Timmy.png,Is_Chloe_Pulling_Billy.wav,No Chloe is Pulling Timmy.
12,item_02,Agent,Chloe,Sanndy,Pull,Pull,Billy,Billy,Sanndy_is_Pulling_Billy.png,Is_Chloe_Pulling_Billy.wav,No Sanndy is Pulling Billy.
13,item_02,Verb,Chloe,Chloe,Pull,Kiss,Billy,Billy,Chloe_is_Kissing_Billy.png,Is_Chloe_Pulling_Billy.wav,No Chloe is Kissing Billy.
14,item_02,Patient,Chloe,Chloe,Pull,Pull,Billy,Timmy,Chloe_is_Pulling_Timmy.png,Is_Chloe_Pulling_Billy.wav,No Chloe is Pulling Timmy.
15,item_02,Control,Chloe,Chloe,Pull,Pull,Billy,Billy,Chloe_is_Pulling_Billy.png,Is_Chloe_Pulling_Billy.wav,Yes Chloe is Pulling Billy.
16,item_02,Control,Chloe,Chloe,Pull,Pull,Billy,Billy,Chloe_is_Pulling_Billy.png,Is_Chloe_Pulling_Billy.wav,Yes Chloe is Pulling Billy.
17,item_03,Agent,Percy,Willy,Pull,Pull,Kimmy,Kimmy,Willy_is_Pulling_Kimmy.png,Is_Percy_Pulling_Kimmy.wav,No Willy is Pulling Kimmy.
18,item_03,Verb,Percy,Percy,Pull,Push,Kimmy,Kimmy,Percy_is_Pushing_Kimmy.png,Is_Percy_Pulling_Kimmy.wav,No Percy is Pushing Kimmy.
19,item_03,Patient,Percy,Percy,Pull,Pull,Kimmy,Rudy,Percy_is_Pulling_Rudy.png,Is_Percy_Pulling_Kimmy.wav,No Percy is Pulling Rudy.
20,item_03,Agent,Percy,Willy,Pull,Pull,Kimmy,Kimmy,Willy_is_Pulling_Kimmy.png,Is_Percy_Pulling_Kimmy.wav,No Willy is Pulling Kimmy.
21,item_03,Verb,Percy,Percy,Pull,Push,Kimmy,Kimmy,Percy_is_Pushing_Kimmy.png,Is_Percy_Pulling_Kimmy.wav,No Percy is Pushing Kimmy.
22,item_03,Patient,Percy,Percy,Pull,Pull,Kimmy,Rudy,Percy_is_Pulling_Rudy.png,Is_Percy_Pulling_Kimmy.wav,No Percy is Pulling Rudy.
23,item_03,Control,Percy,Percy,Pull,Pull,Kimmy,Kimmy,Percy_is_Pulling_Kimmy.png,Is_Percy_Pulling_Kimmy.wav,Yes Percy is Pulling Kimmy.
24,item_03,Control,Percy,Percy,Pull,Pull,Kimmy,Kimmy,Percy_is_Pulling_Kimmy.png,Is_Percy_Pulling_Kimmy.wav,Yes Percy is Pulling Kimmy.
25,item_04,Agent,Annie,Sandy,Kick,Kick,Dory,Dory,Sandy_is_Kicking_Dory.png,Is_Annie_Kicking_Dory.wav,No Sandy is Kicking Dory.
26,item_04,Verb,Annie,Annie,Kick,Pull,Dory,Dory,Annie_is_Pulling_Dory.png,Is_Annie_Kicking_Dory.wav,No Annie is Pulling Dory.
27,item_04,Patient,Annie,Annie,Kick,Kick,Dory,Penny,Annie_is_Kicking_Penny.png,Is_Annie_Kicking_Dory.wav,No Annie is Kicking Penny.
28,item_04,Agent,Annie,Sandy,Kick,Kick,Dory,Dory,Sandy_is_Kicking_Dory.png,Is_Annie_Kicking_Dory.wav,No Sandy is Kicking Dory.
29,item_04,Verb,Annie,Annie,Kick,Pull,Dory,Dory,Annie_is_Pulling_Dory.png,Is_Annie_Kicking_Dory.wav,No Annie is Pulling Dory.
30,item_04,Patient,Annie,Annie,Kick,Kick,Dory,Penny,Annie_is_Kicking_Penny.png,Is_Annie_Kicking_Dory.wav,No Annie is Kicking Penny.
31,item_04,Control,Annie,Annie,Kick,Kick,Dory,Dory,Annie_is_Kicking_Dory.png,Is_Annie_Kicking_Dory.wav,Yes Annie is Kicking Dory.
32,item_04,Control,Annie,Annie,Kick,Kick,Dory,Dory,Annie_is_Kicking_Dory.png,Is_Annie_Kicking_Dory.wav,Yes Annie is Kicking Dory.
33,filler_01,Control,Chloe,Chloe,Pull,Pull,Franny,Franny,Chloe_is_Pulling_Franny.png,Is_Chloe_Pulling_Franny.wav,Yes Chloe is Pulling Franny.
34,filler_02,Control,Johnny,Johnny,Lift,Lift,Percy,Percy,Johnny_is_Lifting_Percy.png,Is_Johnny_Lifting_Percy.wav,Yes Johnny is Lifting Percy.
35,filler_03,Control,Kenny,Kenny,Push,Push,Lacey,Lacey,Kenny_is_Pushing_Lacey.png,Is_Kenny_Pushing_Lacey.wav,Yes Kenny is Pushing Lacey.
36,filler_04,Control,Franny,Franny,Kiss,Kiss,Garry,Garry,Franny_is_Kissing_Garry.png,Is_Franny_Kissing_Garry.wav,Yes Franny is Kissing Garry.
37,filler_05,Control,Jenny,Jenny,Kick,Kick,Johnny,Johnny,Jenny_is_Kicking_Johnny.png,Is_Jenny_Kicking_Johnny.wav,Yes Jenny is Kicking Johnny.
38,filler_06,Control,Johnny,Johnny,Lift,Lift,Teddy,Teddy,Johnny_is_Lifting_Teddy.png,Is_Johnny_Lifting_Teddy.wav,Yes Johnny is Lifting Teddy.
39,filler_07,Control,Chloe,Chloe,Pull,Pull,Kelly,Kelly,Chloe_is_Pulling_Kelly.png,Is_Chloe_Pulling_Kelly.wav,Yes Chloe is Pulling Kelly.
40,filler_08,Control,Laurie,Laurie,Kiss,Kiss,Garry,Garry,Laurie_is_Kissing_Garry.png,Is_Laurie_Kissing_Garry.wav,Yes Laurie is Kissing Garry.
41,filler_09,Control,Annie,Annie,Kiss,Kiss,Freedy,Freedy,Annie_is_Kissing_Freedy.png,Is_Annie_Kissing_Freedy.wav,Yes Annie is Kissing Freedy.
42,filler_10,Control,Lindy,Lindy,Kick,Kick,Cody,Cody,Lindy_is_Kicking_Cody.png,Is_Lindy_Kicking_Cody.wav,Yes Lindy is Kicking Cody.
43,filler_11,Control,Billy,Billy,Push,Push,Mandy,Mandy,Billy_is_Pushing_Mandy.png,Is_Billy_Pushing_Mandy.wav,Yes Billy is Pushing Mandy.
44,filler_12,Control,Kimmy,Kimmy,Pull,Pull,Kelly,Kelly,Kimmy_is_Pulling_Kelly.png,Is_Kimmy_Pulling_Kelly.wav,Yes Kimmy is Pulling Kelly.
45,filler_13,Control,Freedy,Freedy,Push,Push,Mindy,Mindy,Freedy_is_Pushing_Mindy.png,Is_Freedy_Pushing_Mindy.wav,Yes Freedy is Pushing Mindy.
