trial_id,filler_or_item_id,location_condition,agent_in_picture,agent_in_question,verb_in_picture,verb_in_question,patient_in_picture,patient_in_question,picture_file,question_file,answer_script,question_script
54,filler_22,Control,Paula,Paula,Kick,Kick,Mario,Mario,PaulapateoaMario.png,PaulapateoaMario.wav,si Paula pateo a Mario,¿Paula pateo a Mario?
69,filler_37,Control,Nadia,Nadia,Kiss,Kiss,Edgar,Edgar,NadiabesoaEdgar.png,NadiabesoaEdgar.wav,si Nadia beso a Edgar,¿Nadia beso a Edgar?
48,filler_16,Control,Omar,Omar,Lift,Lift,Eva,Eva,OmaralzoaEva.png,OmaralzoaEva.wav,si Omar alzo a Eva,¿Omar alzo a Eva?
55,filler_23,Control,Ana,Ana,Kick,Kick,Raul,Raul,AnapateoaRaul.png,AnapateoaRaul.wav,si Ana pateo a Raul,¿Ana pateo a Raul?
06,item_01,Patient,Tania,Tania,Kiss,Kiss,Simon,Gabriel,TaniabesoaSimon.png,TaniabesoaGabriel.wav,no Tania beso a Simon,¿Tania beso a Gabriel?
11,item_02,Verb,Silvia,Silvia,Kick,Poke,Sergio,Sergio,SilviapateoaSergio.png,SilviatocoaSergio.wav,no Silvia pateo a Sergio,¿Silvia toco a Sergio?
19,item_03,Verb,Salma,Salma,Poke,Kiss,Sandra,Sandra,SalmatocoaSandra.png,SalmabesoaSandra.wav,no Salma toco a Sandra,¿Salma beso a Sandra?
18,item_03,Agent,Salma,Alba,Poke,Poke,Sandra,Sandra,SalmatocoaSandra.png,AlbatocoaSandra.wav,no Salma toco a Sandra,¿Alba toco a Sandra?
45,filler_13,Control,Ester,Ester,Pull,Pull,Laura,Laura,EsterhaloaLaura.png,EsterhaloaLaura.wav,si Ester halo a Laura,¿Ester halo a Laura?
67,filler_35,Control,Julia,Julia,Poke,Poke,Maite,Maite,JuliatocoaMaite.png,JuliatocoaMaite.wav,si Julia toco a Maite,¿Julia toco a Maite?
16,item_02,Control,Silvia,Silvia,Kick,Kick,Sergio,Sergio,SilviapateoaSergio.png,SilviapateoaSergio.wav,si Silvia pateo a Sergio,¿Silvia pateo a Sergio?
21,item_03,Patient,Salma,Salma,Poke,Poke,Sandra,Pilar,SalmatocoaSandra.png,SalmatocoaPilar.wav,no Salma toco a Sandra,¿Salma toco a Pilar?
26,item_04,Agent,Víctor,Pedro,Lift,Lift,Raquel,Raquel,VíctoralzoaRaquel.png,PedroalzoaRaquel.wav,no Víctor alzo a Raquel,¿Pedro alzo a Raquel?
17,item_03,Agent,Salma,Ester,Poke,Poke,Sandra,Sandra,SalmatocoaSandra.png,EstertocoaSandra.wav,no Salma toco a Sandra,¿Ester toco a Sandra?
12,item_02,Verb,Silvia,Silvia,Kick,Lift,Sergio,Sergio,SilviapateoaSergio.png,SilviaalzoaSergio.wav,no Silvia pateo a Sergio,¿Silvia alzo a Sergio?
36,filler_04,Control,Eva,Eva,Kick,Kick,Fabio,Fabio,EvapateoaFabio.png,EvapateoaFabio.wav,si Eva pateo a Fabio,¿Eva pateo a Fabio?
32,item_04,Control,Víctor,Víctor,Lift,Lift,Raquel,Raquel,VíctoralzoaRaquel.png,VíctoralzoaRaquel.wav,si Víctor alzo a Raquel,¿Víctor alzo a Raquel?
33,filler_01,Control,Edgar,Edgar,Lift,Lift,Ana,Ana,EdgaralzoaAna.png,EdgaralzoaAna.wav,si Edgar alzo a Ana,¿Edgar alzo a Ana?
24,item_03,Control,Salma,Salma,Poke,Poke,Sandra,Sandra,SalmatocoaSandra.png,SalmatocoaSandra.wav,si Salma toco a Sandra,¿Salma toco a Sandra?
07,item_01,Control,Tania,Tania,Kiss,Kiss,Simon,Simon,TaniabesoaSimon.png,TaniabesoaSimon.wav,si Tania beso a Simon,¿Tania beso a Simon?
04,item_01,Verb,Tania,Tania,Kiss,Kick,Simon,Simon,TaniabesoaSimon.png,TaniapateoaSimon.wav,no Tania beso a Simon,¿Tania pateo a Simon?
53,filler_21,Control,Maite,Maite,Pull,Pull,Nuria,Nuria,MaitehaloaNuria.png,MaitehaloaNuria.wav,si Maite halo a Nuria,¿Maite halo a Nuria?
23,item_03,Control,Salma,Salma,Poke,Poke,Sandra,Sandra,SalmatocoaSandra.png,SalmatocoaSandra.wav,si Salma toco a Sandra,¿Salma toco a Sandra?
43,filler_11,Control,Coco,Coco,Kick,Kick,Miguel,Miguel,CocopateoaMiguel.png,CocopateoaMiguel.wav,si Coco pateo a Miguel,¿Coco pateo a Miguel?
20,item_03,Verb,Salma,Salma,Poke,Lift,Sandra,Sandra,SalmatocoaSandra.png,SalmaalzoaSandra.wav,no Salma toco a Sandra,¿Salma alzo a Sandra?
30,item_04,Patient,Víctor,Víctor,Lift,Lift,Raquel,Julia,VíctoralzoaRaquel.png,VíctoralzoaJulia.wav,no Víctor alzo a Raquel,¿Víctor alzo a Julia?
05,item_01,Patient,Tania,Tania,Kiss,Kiss,Simon,Fabio,TaniabesoaSimon.png,TaniabesoaFabio.wav,no Tania beso a Simon,¿Tania beso a Fabio?
28,item_04,Verb,Víctor,Víctor,Lift,Pull,Raquel,Raquel,VíctoralzoaRaquel.png,VíctorhaloaRaquel.wav,no Víctor alzo a Raquel,¿Víctor halo a Raquel?
38,filler_06,Control,Judit,Judit,Kiss,Kiss,Hugo,Hugo,JuditbesoaHugo.png,JuditbesoaHugo.wav,si Judit beso a Hugo,¿Judit beso a Hugo?
01,item_01,Agent,Tania,Ines,Kiss,Kiss,Simon,Simon,TaniabesoaSimon.png,InesbesoaSimon.wav,no Tania beso a Simon,¿Ines beso a Simon?
46,filler_14,Control,Julia,Julia,Poke,Poke,Ines,Ines,JuliatocoaInes.png,JuliatocoaInes.wav,si Julia toco a Ines,¿Julia toco a Ines?
34,filler_02,Control,Judit,Judit,Pull,Pull,Emma,Emma,JudithaloaEmma.png,JudithaloaEmma.wav,si Judit halo a Emma,¿Judit halo a Emma?
42,filler_10,Control,Nuria,Nuria,Pull,Pull,Julia,Julia,NuriahaloaJulia.png,NuriahaloaJulia.wav,si Nuria halo a Julia,¿Nuria halo a Julia?
40,filler_08,Control,Nadia,Nadia,Kick,Kick,Edgar,Edgar,NadiapateoaEdgar.png,NadiapateoaEdgar.wav,si Nadia pateo a Edgar,¿Nadia pateo a Edgar?
35,filler_03,Control,Juana,Juana,Kiss,Kiss,Mario,Mario,JuanabesoaMario.png,JuanabesoaMario.wav,si Juana beso a Mario,¿Juana beso a Mario?
08,item_01,Control,Tania,Tania,Kiss,Kiss,Simon,Simon,TaniabesoaSimon.png,TaniabesoaSimon.wav,si Tania beso a Simon,¿Tania beso a Simon?
61,filler_29,Control,Ines,Ines,Kiss,Kiss,Borja,Borja,InesbesoaBorja.png,InesbesoaBorja.wav,si Ines beso a Borja,¿Ines beso a Borja?
14,item_02,Patient,Silvia,Silvia,Kick,Kick,Sergio,Gabriel,SilviapateoaSergio.png,SilviapateoaGabriel.wav,no Silvia pateo a Sergio,¿Silvia pateo a Gabriel?
58,filler_26,Control,Laura,Laura,Kick,Kick,Ivan,Ivan,LaurapateoaIvan.png,LaurapateoaIvan.wav,si Laura pateo a Ivan,¿Laura pateo a Ivan?
27,item_04,Verb,Víctor,Víctor,Lift,Kick,Raquel,Raquel,VíctoralzoaRaquel.png,VíctorpateoaRaquel.wav,no Víctor alzo a Raquel,¿Víctor pateo a Raquel?
62,filler_30,Control,Ester,Ester,Pull,Pull,Emma,Emma,EsterhaloaEmma.png,EsterhaloaEmma.wav,si Ester halo a Emma,¿Ester halo a Emma?
39,filler_07,Control,Belen,Belen,Kiss,Kiss,George,George,BelenbesoaGeorge.png,BelenbesoaGeorge.wav,si Belen beso a George,¿Belen beso a George?
57,filler_25,Control,Olga,Olga,Kick,Kick,Hugo,Hugo,OlgapateoaHugo.png,OlgapateoaHugo.wav,si Olga pateo a Hugo,¿Olga pateo a Hugo?
13,item_02,Patient,Silvia,Silvia,Kick,Kick,Sergio,Eric,SilviapateoaSergio.png,SilviapateoaEric.wav,no Silvia pateo a Sergio,¿Silvia pateo a Eric?
59,filler_27,Control,Julia,Julia,Kick,Kick,Hugo,Hugo,JuliapateoaHugo.png,JuliapateoaHugo.wav,si Julia pateo a Hugo,¿Julia pateo a Hugo?
15,item_02,Control,Silvia,Silvia,Kick,Kick,Sergio,Sergio,SilviapateoaSergio.png,SilviapateoaSergio.wav,si Silvia pateo a Sergio,¿Silvia pateo a Sergio?
72,filler_40,Control,Ester,Ester,Kick,Kick,Hugo,Hugo,EsterpateoaHugo.png,EsterpateoaHugo.wav,si Ester pateo a Hugo,¿Ester pateo a Hugo?
44,filler_12,Control,Juana,Juana,Poke,Poke,Laura,Laura,JuanatocoaLaura.png,JuanatocoaLaura.wav,si Juana toco a Laura,¿Juana toco a Laura?
31,item_04,Control,Víctor,Víctor,Lift,Lift,Raquel,Raquel,VíctoralzoaRaquel.png,VíctoralzoaRaquel.wav,si Víctor alzo a Raquel,¿Víctor alzo a Raquel?
49,filler_17,Control,Belen,Belen,Pull,Pull,Juncal,Juncal,BelenhaloaJuncal.png,BelenhaloaJuncal.wav,si Belen halo a Juncal,¿Belen halo a Juncal?
68,filler_36,Control,Pilar,Pilar,Kick,Kick,Miguel,Miguel,PilarpateoaMiguel.png,PilarpateoaMiguel.wav,si Pilar pateo a Miguel,¿Pilar pateo a Miguel?
10,item_02,Agent,Silvia,Olga,Kick,Kick,Sergio,Sergio,SilviapateoaSergio.png,OlgapateoaSergio.wav,no Silvia pateo a Sergio,¿Olga pateo a Sergio?
56,filler_24,Control,Ines,Ines,Kiss,Kiss,Pablo,Pablo,InesbesoaPablo.png,InesbesoaPablo.wav,si Ines beso a Pablo,¿Ines beso a Pablo?
09,item_02,Agent,Silvia,Laura,Kick,Kick,Sergio,Sergio,SilviapateoaSergio.png,LaurapateoaSergio.wav,no Silvia pateo a Sergio,¿Laura pateo a Sergio?
37,filler_05,Control,George,George,Lift,Lift,Olga,Olga,GeorgealzoaOlga.png,GeorgealzoaOlga.wav,si George alzo a Olga,¿George alzo a Olga?
71,filler_39,Control,Eva,Eva,Kick,Kick,Edgar,Edgar,EvapateoaEdgar.png,EvapateoaEdgar.wav,si Eva pateo a Edgar,¿Eva pateo a Edgar?
25,item_04,Agent,Víctor,Joaquin,Lift,Lift,Raquel,Raquel,VíctoralzoaRaquel.png,JoaquinalzoaRaquel.wav,no Víctor alzo a Raquel,¿Joaquin alzo a Raquel?
