trial_id,filler_or_item_id,location_condition,agent_in_picture,agent_in_question,verb_in_picture,verb_in_question,patient_in_picture,patient_in_question,picture_file,question_file,answer_script,question_script
01,item_01,Verb,Kimmy,Kimmy,Kick,Pull,Tommy,Tommy,KimmyIsKickingTommy.png,IsKimmyPullingTommy.wav,no Kimmy is kicking Tommy,is Kimmy pulling Tommy
02,item_01,Verb,Kimmy,Kimmy,Kick,Kiss,Tommy,Tommy,KimmyIsKickingTommy.png,IsKimmyKissingTommy.wav,no Kimmy is kicking Tommy,is Kimmy kissing Tommy
03,item_01,Control,Kimmy,Kimmy,Kick,Kick,Tommy,Tommy,KimmyIsKickingTommy.png,IsKimmyKickingTommy.wav,yes Kimmy is kicking Tommy,is Kimmy kicking Tommy
04,item_01,Control,Kimmy,Kimmy,Kick,Kick,Tommy,Tommy,KimmyIsKickingTommy.png,IsKimmyKickingTommy.wav,yes Kimmy is kicking Tommy,is Kimmy kicking Tommy
05,item_02,Verb,Bonnie,Bonnie,Kiss,Push,Benny,Benny,BonnieIsKissingBenny.png,IsBonniePushingBenny.wav,no Bonnie is kissing Benny,is Bonnie pushing Benny
06,item_02,Verb,Bonnie,Bonnie,Kiss,Kick,Benny,Benny,BonnieIsKissingBenny.png,IsBonnieKickingBenny.wav,no Bonnie is kissing Benny,is Bonnie kicking Benny
07,item_02,Control,Bonnie,Bonnie,Kiss,Kiss,Benny,Benny,BonnieIsKissingBenny.png,IsBonnieKissingBenny.wav,yes Bonnie is kissing Benny,is Bonnie kissing Benny
08,item_02,Control,Bonnie,Bonnie,Kiss,Kiss,Benny,Benny,BonnieIsKissingBenny.png,IsBonnieKissingBenny.wav,yes Bonnie is kissing Benny,is Bonnie kissing Benny
09,item_03,Verb,Joey,Joey,Push,Lift,Kerry,Kerry,JoeyIsPushingKerry.png,IsJoeyLiftingKerry.wav,no Joey is pushing Kerry,is Joey lifting Kerry
10,item_03,Verb,Joey,Joey,Push,Lift,Kerry,Kerry,JoeyIsPushingKerry.png,IsJoeyLiftingKerry.wav,no Joey is pushing Kerry,is Joey lifting Kerry
11,item_03,Control,Joey,Joey,Push,Push,Kerry,Kerry,JoeyIsPushingKerry.png,IsJoeyPushingKerry.wav,yes Joey is pushing Kerry,is Joey pushing Kerry
12,item_03,Control,Joey,Joey,Push,Push,Kerry,Kerry,JoeyIsPushingKerry.png,IsJoeyPushingKerry.wav,yes Joey is pushing Kerry,is Joey pushing Kerry
13,item_04,Verb,Kelly,Kelly,Pull,Push,Judy,Judy,KellyIsPullingJudy.png,IsKellyPushingJudy.wav,no Kelly is pulling Judy,is Kelly pushing Judy
14,item_04,Verb,Kelly,Kelly,Pull,Poke,Judy,Judy,KellyIsPullingJudy.png,IsKellyPokingJudy.wav,no Kelly is pulling Judy,is Kelly poking Judy
15,item_04,Control,Kelly,Kelly,Pull,Pull,Judy,Judy,KellyIsPullingJudy.png,IsKellyPullingJudy.wav,yes Kelly is pulling Judy,is Kelly pulling Judy
16,item_04,Control,Kelly,Kelly,Pull,Pull,Judy,Judy,KellyIsPullingJudy.png,IsKellyPullingJudy.wav,yes Kelly is pulling Judy,is Kelly pulling Judy
17,filler_01,Verb,Cindy,Cindy,Push,Pull,Betty,Betty,CindyIsPushingBetty.png,IsCindyPullingBetty.wav,no Cindy is pushing Betty,is Cindy pulling Betty
18,filler_02,Verb,Henry,Henry,Poke,Lift,Ollie,Ollie,HenryIsPokingOllie.png,IsHenryLiftingOllie.wav,no Henry is poking Ollie,is Henry lifting Ollie
19,filler_03,Verb,Teddy,Teddy,Lift,Push,Molly,Molly,TeddyIsLiftingMolly.png,IsTeddyPushingMolly.wav,no Teddy is lifting Molly,is Teddy pushing Molly
20,filler_04,Verb,Brandy,Brandy,Poke,Kiss,Johnny,Johnny,BrandyIsPokingJohnny.png,IsBrandyKissingJohnny.wav,no Brandy is poking Johnny,is Brandy kissing Johnny
21,filler_05,Verb,Betty,Betty,Poke,Kick,Harvey,Harvey,BettyIsPokingHarvey.png,IsBettyKickingHarvey.wav,no Betty is poking Harvey,is Betty kicking Harvey
22,filler_06,Verb,Henry,Henry,Pull,Lift,Ronnie,Ronnie,HenryIsPullingRonnie.png,IsHenryLiftingRonnie.wav,no Henry is pulling Ronnie,is Henry lifting Ronnie
23,filler_07,Verb,Cindy,Cindy,Push,Pull,Lilly,Lilly,CindyIsPushingLilly.png,IsCindyPullingLilly.wav,no Cindy is pushing Lilly,is Cindy pulling Lilly
24,filler_08,Verb,Mindy,Mindy,Lift,Kiss,Danny,Danny,MindyIsLiftingDanny.png,IsMindyKissingDanny.wav,no Mindy is lifting Danny,is Mindy kissing Danny
25,filler_09,Verb,Nancy,Nancy,Poke,Kiss,Ollie,Ollie,NancyIsPokingOllie.png,IsNancyKissingOllie.wav,no Nancy is poking Ollie,is Nancy kissing Ollie
26,filler_10,Verb,Molly,Molly,Push,Kick,Percy,Percy,MollyIsPushingPercy.png,IsMollyKickingPercy.wav,no Molly is pushing Percy,is Molly kicking Percy
27,filler_11,Verb,Ronnie,Ronnie,Kiss,Push,Brandy,Brandy,RonnieIsKissingBrandy.png,IsRonniePushingBrandy.wav,no Ronnie is kissing Brandy,is Ronnie pushing Brandy
28,filler_12,Verb,Tracy,Tracy,Poke,Pull,Cindy,Cindy,TracyIsPokingCindy.png,IsTracyPullingCindy.wav,no Tracy is poking Cindy,is Tracy pulling Cindy
29,filler_13,Verb,Harvey,Harvey,Kick,Push,Sally,Sally,HarveyIsKickingSally.png,IsHarveyPushingSally.wav,no Harvey is kicking Sally,is Harvey pushing Sally
30,filler_14,Verb,Chloe,Chloe,Kiss,Kick,Gary,Gary,ChloeIsKissingGary.png,IsChloeKickingGary.wav,no Chloe is kissing Gary,is Chloe kicking Gary
31,filler_15,Verb,Laurie,Laurie,Lift,Poke,Carlie,Carlie,LaurieIsLiftingCarlie.png,IsLauriePokingCarlie.wav,no Laurie is lifting Carlie,is Laurie poking Carlie
32,filler_16,Verb,Percy,Percy,Kick,Push,Molly,Molly,PercyIsKickingMolly.png,IsPercyPushingMolly.wav,no Percy is kicking Molly,is Percy pushing Molly
33,filler_17,Verb,Lacey,Lacey,Poke,Pull,Tracy,Tracy,LaceyIsPokingTracy.png,IsLaceyPullingTracy.wav,no Lacey is poking Tracy,is Lacey pulling Tracy
