trial_id,filler_or_item_id,location_condition,agent_in_picture,agent_in_question,verb_in_picture,verb_in_question,patient_in_picture,patient_in_question,picture_file,question_file,answer_script,question_script
54,filler_22,Agent,Molly,Jenny,Kick,Kick,Teddy,Teddy,MollyIsKickingTeddy.png,IsJennyKickingTeddy.wav,no Molly is kicking Teddy,is Jenny kicking Teddy
69,filler_37,Agent,Molly,Jenny,Kiss,Kiss,Danny,Danny,MollyIsKissingDanny.png,IsJennyKissingDanny.wav,no Molly is kissing Danny,is Jenny kissing Danny
48,filler_16,Agent,Molly,Jenny,Lift,Lift,Gary,Gary,MollyIsLiftingGary.png,IsJennyLiftingGary.wav,no Molly is lifting Gary,is Jenny lifting Gary
55,filler_23,Agent,Molly,Jenny,Kick,Kick,Wally,Wally,MollyIsKickingWally.png,IsJennyKickingWally.wav,no Molly is kicking Wally,is Jenny kicking Wally
06,item_01,Agent,Molly,Jenny,Kick,Kick,Joey,Joey,MollyIsKickingJoey.png,IsJennyKickingJoey.wav,no Molly is kicking Joey,is Jenny kicking Joey
11,item_02,Agent,Molly,Jenny,Kiss,Kiss,Tommy,Tommy,MollyIsKissingTommy.png,IsJennyKissingTommy.wav,no Molly is kissing Tommy,is Jenny kissing Tommy
19,item_03,Agent,Molly,Jenny,Push,Push,Benny,Benny,MollyIsPushingBenny.png,IsJennyPushingBenny.wav,no Molly is pushing Benny,is Jenny pushing Benny
18,item_03,Agent,Molly,Jenny,Push,Push,Benny,Benny,MollyIsPushingBenny.png,IsJennyPushingBenny.wav,no Molly is pushing Benny,is Jenny pushing Benny
45,filler_13,Agent,Molly,Jenny,Push,Push,Ronnie,Ronnie,MollyIsPushingRonnie.png,IsJennyPushingRonnie.wav,no Molly is pushing Ronnie,is Jenny pushing Ronnie
67,filler_35,Agent,Molly,Jenny,Poke,Poke,Henry,Henry,MollyIsPokingHenry.png,IsJennyPokingHenry.wav,no Molly is poking Henry,is Jenny poking Henry
16,item_02,Control,Molly,Molly,Kiss,Kiss,Tommy,Tommy,MollyIsKissingTommy.png,IsMollyKissingTommy.wav,yes Molly is kissing Tommy,is Molly kissing Tommy
21,item_03,Agent,Molly,Jenny,Push,Push,Benny,Benny,MollyIsPushingBenny.png,IsJennyPushingBenny.wav,no Molly is pushing Benny,is Jenny pushing Benny
26,item_04,Agent,Molly,Jenny,Poke,Poke,Timmy,Timmy,MollyIsPokingTimmy.png,IsJennyPokingTimmy.wav,no Molly is poking Timmy,is Jenny poking Timmy
17,item_03,Agent,Molly,Jenny,Push,Push,Benny,Benny,MollyIsPushingBenny.png,IsJennyPushingBenny.wav,no Molly is pushing Benny,is Jenny pushing Benny
12,item_02,Agent,Molly,Jenny,Kiss,Kiss,Tommy,Tommy,MollyIsKissingTommy.png,IsJennyKissingTommy.wav,no Molly is kissing Tommy,is Jenny kissing Tommy
36,filler_04,Agent,Molly,Jenny,Kick,Kick,Harvey,Harvey,MollyIsKickingHarvey.png,IsJennyKickingHarvey.wav,no Molly is kicking Harvey,is Jenny kicking Harvey
32,item_04,Control,Molly,Molly,Poke,Poke,Timmy,Timmy,MollyIsPokingTimmy.png,IsMollyPokingTimmy.wav,yes Molly is poking Timmy,is Molly poking Timmy
33,filler_01,Agent,Molly,Jenny,Lift,Lift,Kenny,Kenny,MollyIsLiftingKenny.png,IsJennyLiftingKenny.wav,no Molly is lifting Kenny,is Jenny lifting Kenny
24,item_03,Control,Molly,Molly,Push,Push,Benny,Benny,MollyIsPushingBenny.png,IsMollyPushingBenny.wav,yes Molly is pushing Benny,is Molly pushing Benny
07,item_01,Control,Molly,Molly,Kick,Kick,Joey,Joey,MollyIsKickingJoey.png,IsMollyKickingJoey.wav,yes Molly is kicking Joey,is Molly kicking Joey
04,item_01,Agent,Molly,Jenny,Kick,Kick,Joey,Joey,MollyIsKickingJoey.png,IsJennyKickingJoey.wav,no Molly is kicking Joey,is Jenny kicking Joey
53,filler_21,Agent,Molly,Jenny,Push,Push,Ronnie,Ronnie,MollyIsPushingRonnie.png,IsJennyPushingRonnie.wav,no Molly is pushing Ronnie,is Jenny pushing Ronnie
23,item_03,Control,Molly,Molly,Push,Push,Benny,Benny,MollyIsPushingBenny.png,IsMollyPushingBenny.wav,yes Molly is pushing Benny,is Molly pushing Benny
43,filler_11,Agent,Molly,Jenny,Kick,Kick,Jerry,Jerry,MollyIsKickingJerry.png,IsJennyKickingJerry.wav,no Molly is kicking Jerry,is Jenny kicking Jerry
20,item_03,Agent,Molly,Jenny,Push,Push,Benny,Benny,MollyIsPushingBenny.png,IsJennyPushingBenny.wav,no Molly is pushing Benny,is Jenny pushing Benny
30,item_04,Agent,Molly,Jenny,Poke,Poke,Timmy,Timmy,MollyIsPokingTimmy.png,IsJennyPokingTimmy.wav,no Molly is poking Timmy,is Jenny poking Timmy
05,item_01,Agent,Molly,Jenny,Kick,Kick,Joey,Joey,MollyIsKickingJoey.png,IsJennyKickingJoey.wav,no Molly is kicking Joey,is Jenny kicking Joey
28,item_04,Agent,Molly,Jenny,Poke,Poke,Timmy,Timmy,MollyIsPokingTimmy.png,IsJennyPokingTimmy.wav,no Molly is poking Timmy,is Jenny poking Timmy
38,filler_06,Agent,Molly,Jenny,Kiss,Kiss,Ronnie,Ronnie,MollyIsKissingRonnie.png,IsJennyKissingRonnie.wav,no Molly is kissing Ronnie,is Jenny kissing Ronnie
01,item_01,Agent,Molly,Jenny,Kick,Kick,Joey,Joey,MollyIsKickingJoey.png,IsJennyKickingJoey.wav,no Molly is kicking Joey,is Jenny kicking Joey
46,filler_14,Agent,Molly,Jenny,Poke,Poke,Jerry,Jerry,MollyIsPokingJerry.png,IsJennyPokingJerry.wav,no Molly is poking Jerry,is Jenny poking Jerry
34,filler_02,Agent,Molly,Jenny,Push,Push,Jerry,Jerry,MollyIsPushingJerry.png,IsJennyPushingJerry.wav,no Molly is pushing Jerry,is Jenny pushing Jerry
42,filler_10,Agent,Molly,Jenny,Push,Push,Gary,Gary,MollyIsPushingGary.png,IsJennyPushingGary.wav,no Molly is pushing Gary,is Jenny pushing Gary
40,filler_08,Agent,Molly,Jenny,Kick,Kick,Ollie,Ollie,MollyIsKickingOllie.png,IsJennyKickingOllie.wav,no Molly is kicking Ollie,is Jenny kicking Ollie
35,filler_03,Agent,Molly,Jenny,Kiss,Kiss,Johnny,Johnny,MollyIsKissingJohnny.png,IsJennyKissingJohnny.wav,no Molly is kissing Johnny,is Jenny kissing Johnny
08,item_01,Control,Molly,Molly,Kick,Kick,Joey,Joey,MollyIsKickingJoey.png,IsMollyKickingJoey.wav,yes Molly is kicking Joey,is Molly kicking Joey
61,filler_29,Agent,Molly,Jenny,Kiss,Kiss,Harvey,Harvey,MollyIsKissingHarvey.png,IsJennyKissingHarvey.wav,no Molly is kissing Harvey,is Jenny kissing Harvey
14,item_02,Agent,Molly,Jenny,Kiss,Kiss,Tommy,Tommy,MollyIsKissingTommy.png,IsJennyKissingTommy.wav,no Molly is kissing Tommy,is Jenny kissing Tommy
58,filler_26,Agent,Molly,Jenny,Kick,Kick,Davey,Davey,MollyIsKickingDavey.png,IsJennyKickingDavey.wav,no Molly is kicking Davey,is Jenny kicking Davey
27,item_04,Agent,Molly,Jenny,Poke,Poke,Timmy,Timmy,MollyIsPokingTimmy.png,IsJennyPokingTimmy.wav,no Molly is poking Timmy,is Jenny poking Timmy
62,filler_30,Agent,Molly,Jenny,Push,Push,Johnny,Johnny,MollyIsPushingJohnny.png,IsJennyPushingJohnny.wav,no Molly is pushing Johnny,is Jenny pushing Johnny
39,filler_07,Agent,Molly,Jenny,Kiss,Kiss,Danny,Danny,MollyIsKissingDanny.png,IsJennyKissingDanny.wav,no Molly is kissing Danny,is Jenny kissing Danny
57,filler_25,Agent,Molly,Jenny,Kick,Kick,Teddy,Teddy,MollyIsKickingTeddy.png,IsJennyKickingTeddy.wav,no Molly is kicking Teddy,is Jenny kicking Teddy
13,item_02,Agent,Molly,Jenny,Kiss,Kiss,Tommy,Tommy,MollyIsKissingTommy.png,IsJennyKissingTommy.wav,no Molly is kissing Tommy,is Jenny kissing Tommy
59,filler_27,Agent,Molly,Jenny,Kick,Kick,Jerry,Jerry,MollyIsKickingJerry.png,IsJennyKickingJerry.wav,no Molly is kicking Jerry,is Jenny kicking Jerry
15,item_02,Control,Molly,Molly,Kiss,Kiss,Tommy,Tommy,MollyIsKissingTommy.png,IsMollyKissingTommy.wav,yes Molly is kissing Tommy,is Molly kissing Tommy
