,question_file
0,张敏踢了王军吗.wav
1,王娟亲了张杰吗.wav
2,王磊推了张敏吗.wav
3,李梅踢了李杰吗.wav
4,李妍踢了李勇吗.wav
5,张悦踢了王平吗.wav
6,王杰踢了李丽吗.wav
7,张伟推了李丽吗.wav
8,张静拉了李敏吗.wav
9,李娜戳了王敏吗.wav
10,张悦亲了王平吗.wav
11,王杰推了李敏吗.wav
12,李敏拉了刘敏吗.wav
13,王伟推了李丽吗.wav
14,张悦戳了王平吗.wav
15,李敏踢了李军吗.wav
16,刘芳拉了刘敏吗.wav
17,张磊推了李梅吗.wav
18,王杰推了李丽吗.wav
19,李妍踢了王刚吗.wav
20,李妍戳了王刚吗.wav
21,张丽拉了张敏吗.wav
22,李娜踢了王涛吗.wav
23,王杰拉了李丽吗.wav
24,刘芳拉了李娟吗.wav
25,李妍踢了李杰吗.wav
26,刘芳亲了刘敏吗.wav
27,李娟亲了王涛吗.wav
28,张静踢了王刚吗.wav
29,李燕戳了张丽吗.wav
30,李娟拉了王丽吗.wav
31,王芳拉了李敏吗.wav
32,李霞踢了王勇吗.wav
33,张艳亲了张涛吗.wav
34,王娟亲了张勇吗.wav
35,张悦亲了李强吗.wav
36,王丽踢了刘杰吗.wav
37,刘芳戳了刘敏吗.wav
38,张敏拉了李燕吗.wav
39,张丽亲了张勇吗.wav
40,张艳踢了张涛吗.wav
41,张悦亲了张伟吗.wav
42,张艳踢了张强吗.wav
43,李燕踢了王涛吗.wav
44,张艳戳了李娟吗.wav
45,王敏拉了李霞吗.wav
46,张静踢了王涛吗.wav
47,王敏亲了王平吗.wav
48,李娟亲了李伟吗.wav
49,李燕亲了王平吗.wav
50,王勇推了张静吗.wav
51,王静踢了王伟吗.wav
52,王敏拉了刘敏吗.wav
53,李梅踢了张勇吗.wav
54,王勇推了李静吗.wav
55,刘芳拉了李梅吗.wav
56,王杰推了王静吗.wav
57,王芳拉了张丽吗.wav
58,张敏戳了王丽吗.wav
59,王娟戳了王丽吗.wav
60,张静亲了张勇吗.wav
61,李梅拉了张丽吗.wav
62,李燕踢了王超吗.wav
63,张伟推了王静吗.wav
64,张静亲了李伟吗.wav
65,张艳拉了王敏吗.wav
