question_file,auto_transcript
IsPercyPushingHailey.wav,is Percy pushing Haley
IsKimmyKickingDavey.wav,is Kimmy kicking Davie
IsJoeyLiftingKerry.wav,is Joey lift and carry
IsWallyPushingKerry.wav,is Wally pushing Carey
IsLillyKickingPercy.wav,is Lily kicking Percy
IsJoeyPushingHailey.wav,is Joey pushing Haley
IsTimmyPushingKerry.wav,is Timmy pushing Carey
IsCindyPullingPenny.wav,Cindy pulling penny
IsJoeyPushingKerry.wav,is Joey pushing Carey
IsJohnnyPushingCarrie.wav,is Johnny Cash and Carry
IsJoeyPushingKerry.wav,is Joey pushing Carey
IsJoeyKickingKerry.wav,is Joey kicking Carey
IsKellyPullingCarrie.wav,is Kelly pulling Carey
IsHenryLiftingOllie.wav,is Henry lifting Ali
IsNancyKissingOllie.wav,is Nancy kissing Ali
IsBonnieKissingRonnie.wav,his Bonnie kissing Ron
IsOlliePushingLacey.wav,he's always pushing Lacey
IsLillyPullingBetty.wav,is Lily pulling Betty
IsCindyPullingBrandy.wav,it's Cindy pulling Brandy
IsJennyPokingLilly.wav,is Jennie poking Lily
IsSallyKickingOllie.wav,it's Sally kicking Ali
IsChloeKissingKenny.wav,is Khloe cousin Kenny
IsVickyKissingFreddy.wav,is Vicki kissing Freddy
IsHaileyKissingBenny.wav,is Haley kissing Benny
IsKellyPullingBrandy.wav,it's Kelly pulling Brandy
IsJoeyPushingLaurie.wav,is Joey pushing lorry
IsDannyLiftingWally.wav,is Danny lifting Wall-E
IsCarlieKickingTommy.wav,is Carly taking Tommy
IsSallyKickingKenny.wav,is selling taking Kenny
IsBettyPullingMolly.wav,is Betty Polly Molly
IsLauriePokingSally.wav,is Lori poking Sally
