,names,status
0,NANCY,exist
1,VICKY,exist
2,TORI,exist
3,PENNY,exist
4,JILLY,exist
5,CINDY,exist
6,LAURIE,exist
7,FRANNY,exist
8,BRANDY,exist
9,BETTY,exist
10,KYLIE,exist
11,CARRIE,exist
12,TRACY,exist
13,CHLOE,exist
14,ANNIE,exist
15,MINDY,exist
16,MOLLY,exist
17,SALLY,exist
18,LACEY,exist
19,CARLIE,exist
20,MANDY,exist
21,HAILEY,exist
22,LILLY,exist
23,JENNY,exist
24,JUDY,exist
25,KERRY,exist
26,KELLY,exist
27,BONNIE,exist
28,KIMMY,exist
29,FREDDY,exist
30,RONNIE,exist
31,DAVEY,exist
32,JIMMY,exist
33,KENNY,exist
34,PERCY,exist
35,SAMMY,exist
36,HARVEY,exist
37,GARY,exist
38,OLLIE,exist
39,DANNY,exist
40,HENRY,exist
41,TEDDY,exist
42,WALLY,exist
43,JOHNNY,exist
44,JERRY,exist
45,TIMMY,exist
46,BENNY,exist
47,TOMMY,exist
48,JOEY,exist
