question_file,auto_transcript
IsKimmyKickingDavey.wav,is Kimmy kicking Davie
IsJoeyLiftingKerry.wav,is Joey lift and carry
IsWallyPushingKerry.wav,is Wally pushing Carey
IsLillyKickingDavey.wav,is Lily kicking Davie
IsJoeyPushingHailey.wav,is Joey pushing Haley
IsTimmyPushingKerry.wav,is Timmy push and carry
IsBonnieLiftingBenny.wav,is body lifting Benny
IsJoeyPushingKerry.wav,is Joey pushing Carey
IsJoeyKickingKerry.wav,is Joey kicking Carey
IsKellyPullingCarrie.wav,is Kelly pulling Carey
IsKellyKickingJudy.wav,it's Kelly kicking Judy
IsHenryLiftingOllie.wav,is Henry lifting Ali
IsNancyKissingJimmy.wav,Snappy kissing Jimmy
IsOlliePushingHailey.wav,is Ali pushing Haley
IsLillyPullingBrandy.wav,is Lily pulling Brandy
IsCindyPullingLilly.wav,is Cindy pulling Lily
IsVickyKissingJimmy.wav,is Vicki kissing Jimmy
IsHaileyKissingBenny.wav,is Haley kissing Benny
IsFrannyKickingJerry.wav,it's Frank kicking Jerry
IsJoeyPushingLaurie.wav,is Joey pushing lorry
IsNancyKissingOllie.wav,is Nancy kissing Ali
IsBettyKickingDanny.wav,is Betty taking Daddy
IsJennyKickingJohnny.wav,is Jenny Chicken dry
IsCarlieKickingTommy.wav,it's Carly cooking Tommy
IsBettyPullingCarlie.wav,is Betty pulling Carly
IsLauriePokingCarlie.wav,is Lori poking Carly
IsFrannyKickingTommy.wav,it's Frank kicking Tommy
IsOlliePushingKerry.wav,na
IsFreddyPushingKerry.wav,is Freddy pushing carry
IsJillyKissingBenny.wav,is Jillie kissing Benny
IsJerryPushingKerry.wav,is Jerry pushing carry
IsPennyPullingJudy.wav,his penny pullan judy
IsLillyPullingJudy.wav,is Lily pulling Judy
IsKennyPushingKerry.wav,is Kenny Bush and Kerry
IsJoeyKissingKerry.wav,is Joey kissing Carrie
IsKellyPullingHailey.wav,is Kelly pulling Haley
